item_id,task
E37,"Build a personal webpage using a template: choose a template, customise the layout, and deploy the site."
E38,"Extend a large codebase that has no test suite, where a subtle early bug only surfaces much later in dependent components."
E39,Find the cheapest combination of flights for a fixed itinerary.
E40,"Write a covering letter for a job application, given the advertisement and the CV it responds to. (One well-established routine covers it end to end; nothing has to be divided into subtasks.)."
E41,"Draft the claims of a patent from the paper it is based on, with no examiner feedback until the whole set is filed."
E42,Prove that there are infinitely many prime numbers.
E43,Answer a customer's question by finding the relevant section of the product manual and writing the reply. (One familiar routine runs from question to answer; the task is not divided into stages.).
E44,"Write and polish the introduction of a scientific paper, judging for yourself when each paragraph is finished."
E45,"Navigate at sea by dead reckoning in fog, where position evolves unobserved under wind and current."
E46,"Implement accurate real-time translation of a conversation between English and Spanish. (Hard, but the difficulty is linguistic; no plan needs to be found.)."
E47,"Follow a tutorial to implement a small transformer network, running the code at each milestone."
E48,"Cook several dishes at once, each evolving visibly toward done or ruined."
E49,Convert a temperature from Celsius to Fahrenheit. (A single computation; there is nothing to sequence or decide.).
E50,Cook from a recipe in which each step's outcome makes success immediately apparent before moving on.
E51,"Drive through dense city traffic, where the situation changes continuously but every change is visible as it happens. (Other drivers' visible motion is tracked state; reasoning about their intentions is Mind Modelling (MSm).)."
E52,Settle the custody arrangement in a divorce where both parents want the child to live with them and each expects the other to exploit any concession.
E53,Reset a password by following the prompts on a website.
E54,Locate a fault in an electrical circuit using a multimeter.
E55,"Negotiate a hostage release in which the captor, the police commander pressing to storm the building, and the hostages' families each demand a different course, and each of them reads what is conceded to the others."
E56,Select the figure that fits the pattern from A to E.
E57,"Take a complete inventory of a storeroom, however many shelves it holds — each item is simply there to be counted."
E58,"Keep refusing a refund the policy does not allow to a customer who is shouting and demanding a manager, without conceding it and without the exchange breaking down."
E59,Say whether checkmate can be delivered in one move in a given chess position.
E60,"Explore an unfamiliar codebase to establish where a behaviour is implemented, each file being directly readable."
E61,"Agree a price with a market trader who opens far above what you will pay, where both of you want the sale to happen and the work is finding the figure that suits you both."
E62,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
E63,Read the current contents of a file before editing it.
E64,"Tell a patient, as their doctor, that they have a serious illness, and bring them to accept a treatment they are at first reluctant to start, working through each concern as it is raised. (Grave and emotionally heavy, but they are not holding out for a different treatment — the work is finding the path to acceptance, not overcoming opposition.)."
E65,"Plan the first ascent of an unclimbed face for which no route description exists: which line to attempt, where camps can be placed at all, and what to carry all depend on one another, and candidate lines mostly turn out to be impassable only once they have been worked through."
E66,"Answer a word problem that states every quantity it needs: two trains leave stations 300 km apart at given speeds, and you must say when they meet."
E67,"Work out over a support chat which of several products a customer actually needs, each follow-up question depending on what they have just said."
E68,"Design the plan for replicating a machine-learning paper that omits key details: what to implement, in what order, and which checks would show whether a discrepancy is a bug or a difference in setup."
E69,Solve a Sudoku from a printed grid. (The whole state is given; filling the grid is deduction and planning.).
E70,"Take a patient's history in a clinic, where each answer determines which symptom to ask about next."
E71,"Find a strong plan in a club-level chess middlegame, where a natural-looking move can fail to a consequence several moves deep. (Nothing is hidden, and the opponent's replies are explored as branches of the same search rather than by modelling a mind.)."
E72,"Carry out a multi-step synthesis of a scarce compound, where a failed step destroys the material. (Contrast Planning, which assesses devising the route: here the route is known and the demand is that no step can be retried.)."
E73,Message a dental practice to move an appointment from Tuesday to Thursday.
E74,"Plan a small data analysis: download the dataset, clean it, run a statistical analysis and produce a chart — a standard pipeline whose stages do not constrain each other."
E75,"Translate a long legal contract, where a mistranslated defined term early on corrupts every later clause that uses it."
E76,Order a coffee and a sandwich at a café counter.
E77,"Plan a day-trip itinerary given preferences (museums, restaurants, location); identify opening hours and schedule visits."
