scoring_dim,item_id,own_dim,own_level,judge,assigned
PLp,E69,PLs,0,haiku,2
PLp,E70,MSc,2,haiku,1
PLp,E71,PLp,3,haiku,3
PLp,E72,PLe,5,haiku,0
PLp,E73,MSc,1,haiku,0
PLp,E74,PLp,2,haiku,2
PLp,E75,PLe,4,haiku,1
PLp,E76,MSc,1,haiku,0
PLp,E77,PLp,2,haiku,2
PLp,E01,PLe,4,sonnet,0
PLp,E02,MSc,0,sonnet,0
PLp,E03,PLp,1,sonnet,1
PLp,E04,PLe,3,sonnet,1
PLp,E05,PLs,5,sonnet,1
PLp,E06,PLp,0,sonnet,0
PLp,E07,PLe,2,sonnet,1
PLp,E08,PLs,5,sonnet,2
PLp,E09,PLp,0,sonnet,0
PLp,E10,PLe,2,sonnet,0
PLp,E11,PLs,4,sonnet,1
PLp,E12,PLp,0,sonnet,0
PLp,E13,PLe,1,sonnet,0
PLp,E14,PLs,3,sonnet,1
PLp,E15,MSc,5,sonnet,3
PLp,E16,PLe,0,sonnet,3
PLp,E17,PLs,3,sonnet,2
PLp,E18,MSc,4,sonnet,2
PLp,E19,PLe,0,sonnet,0
PLp,E20,PLs,2,sonnet,2
PLp,E21,MSc,4,sonnet,2
PLp,E22,PLp,5,sonnet,5
PLp,E23,PLs,1,sonnet,0
PLp,E24,MSc,3,sonnet,2
PLp,E25,PLp,5,sonnet,5
PLp,E26,PLs,1,sonnet,0
PLp,E27,MSc,3,sonnet,1
PLp,E28,PLp,4,sonnet,4
PLp,E29,PLs,0,sonnet,3
PLp,E30,MSc,2,sonnet,2
PLp,E31,PLp,3,sonnet,3
PLp,E32,PLe,5,sonnet,0
PLp,E33,MSc,1,sonnet,1
PLp,E34,PLp,3,sonnet,3
PLp,E35,PLe,5,sonnet,2
PLp,E36,MSc,1,sonnet,0
PLp,E37,PLp,2,sonnet,2
PLp,E38,PLe,4,sonnet,0
PLp,E39,MSc,0,sonnet,2
PLp,E40,PLp,1,sonnet,1
PLp,E41,PLe,3,sonnet,2
PLp,E42,MSc,0,sonnet,1
PLp,E43,PLp,1,sonnet,1
PLp,E44,PLe,3,sonnet,1
PLp,E45,PLs,5,sonnet,1
PLp,E46,PLp,0,sonnet,0
PLp,E47,PLe,2,sonnet,0
PLp,E48,PLs,4,sonnet,2
PLp,E49,PLp,0,sonnet,0
PLp,E50,PLe,1,sonnet,0
PLp,E51,PLs,4,sonnet,1
PLp,E52,MSc,5,sonnet,3
PLp,E53,PLe,1,sonnet,0
PLp,E54,PLs,3,sonnet,2
PLp,E55,MSc,5,sonnet,3
PLp,E56,PLe,0,sonnet,0
PLp,E57,PLs,2,sonnet,0
PLp,E58,MSc,4,sonnet,1
PLp,E59,PLe,0,sonnet,0
PLp,E60,PLs,2,sonnet,1
PLp,E61,MSc,3,sonnet,1
PLp,E62,PLp,5,sonnet,5
PLp,E63,PLs,1,sonnet,0
PLp,E64,MSc,3,sonnet,1
PLp,E65,PLp,4,sonnet,4
PLp,E66,PLs,0,sonnet,0
PLp,E67,MSc,2,sonnet,1
PLp,E68,PLp,4,sonnet,4
PLp,E69,PLs,0,sonnet,3
PLp,E70,MSc,2,sonnet,1
PLp,E71,PLp,3,sonnet,3
PLp,E72,PLe,5,sonnet,0
PLp,E73,MSc,1,sonnet,0
PLp,E74,PLp,2,sonnet,2
PLp,E75,PLe,4,sonnet,0
PLp,E76,MSc,1,sonnet,0
PLp,E77,PLp,2,sonnet,2
PLp,E01,PLe,4,opus,0
PLp,E02,MSc,0,opus,0
PLp,E03,PLp,1,opus,1
PLp,E04,PLe,3,opus,1
PLp,E05,PLs,5,opus,1
PLp,E06,PLp,0,opus,0
PLp,E07,PLe,2,opus,0
PLp,E08,PLs,5,opus,2
PLp,E09,PLp,0,opus,0
PLp,E10,PLe,2,opus,1
PLp,E11,PLs,4,opus,1
PLp,E12,PLp,0,opus,0
PLp,E13,PLe,1,opus,0
PLp,E14,PLs,3,opus,1
PLp,E15,MSc,5,opus,3
PLp,E16,PLe,0,opus,3
PLp,E17,PLs,3,opus,2
PLp,E18,MSc,4,opus,2
PLp,E19,PLe,0,opus,0
PLp,E20,PLs,2,opus,1
PLp,E21,MSc,4,opus,3
PLp,E22,PLp,5,opus,5
PLp,E23,PLs,1,opus,0
PLp,E24,MSc,3,opus,2
PLp,E25,PLp,5,opus,5
PLp,E26,PLs,1,opus,0
PLp,E27,MSc,3,opus,1
PLp,E28,PLp,4,opus,4
PLp,E29,PLs,0,opus,3
PLp,E30,MSc,2,opus,1
PLp,E31,PLp,3,opus,3
PLp,E32,PLe,5,opus,0
PLp,E33,MSc,1,opus,1
PLp,E34,PLp,3,opus,3
PLp,E35,PLe,5,opus,2
PLp,E36,MSc,1,opus,0
PLp,E37,PLp,2,opus,2
PLp,E38,PLe,4,opus,2
PLp,E39,MSc,0,opus,2
PLp,E40,PLp,1,opus,1
PLp,E41,PLe,3,opus,2
PLp,E42,MSc,0,opus,1
PLp,E43,PLp,1,opus,1
PLp,E44,PLe,3,opus,1
PLp,E45,PLs,5,opus,1
PLp,E46,PLp,0,opus,0
PLp,E47,PLe,2,opus,0
PLp,E48,PLs,4,opus,2
PLp,E49,PLp,0,opus,0
PLp,E50,PLe,1,opus,0
PLp,E51,PLs,4,opus,1
PLp,E52,MSc,5,opus,3
PLp,E53,PLe,1,opus,0
PLp,E54,PLs,3,opus,1
PLp,E55,MSc,5,opus,3
PLp,E56,PLe,0,opus,0
PLp,E57,PLs,2,opus,0
PLp,E58,MSc,4,opus,1
PLp,E59,PLe,0,opus,0
PLp,E60,PLs,2,opus,1
PLp,E61,MSc,3,opus,1
PLp,E62,PLp,5,opus,5
PLp,E63,PLs,1,opus,0
PLp,E64,MSc,3,opus,2
PLp,E65,PLp,4,opus,4
PLp,E66,PLs,0,opus,0
PLp,E67,MSc,2,opus,1
PLp,E68,PLp,4,opus,4
PLp,E69,PLs,0,opus,3
PLp,E70,MSc,2,opus,1
PLp,E71,PLp,3,opus,3
PLp,E72,PLe,5,opus,0
PLp,E73,MSc,1,opus,0
PLp,E74,PLp,2,opus,2
PLp,E75,PLe,4,opus,1
PLp,E76,MSc,1,opus,0
PLp,E77,PLp,2,opus,2
PLe,E01,PLe,4,haiku,4
PLe,E02,MSc,0,haiku,3
PLe,E03,PLp,1,haiku,3
PLe,E04,PLe,3,haiku,3
PLe,E05,PLs,5,haiku,4
PLe,E06,PLp,0,haiku,2
PLe,E07,PLe,2,haiku,2
PLe,E08,PLs,5,haiku,4
PLe,E09,PLp,0,haiku,0
PLe,E10,PLe,2,haiku,2
PLe,E11,PLs,4,haiku,1
PLe,E12,PLp,0,haiku,0
PLe,E13,PLe,1,haiku,1
PLe,E14,PLs,3,haiku,3
PLe,E15,MSc,5,haiku,5
PLe,E16,PLe,0,haiku,0
PLe,E17,PLs,3,haiku,4
PLe,E18,MSc,4,haiku,5
PLe,E19,PLe,0,haiku,0
PLe,E20,PLs,2,haiku,1
PLe,E21,MSc,4,haiku,5
PLe,E22,PLp,5,haiku,0
PLe,E23,PLs,1,haiku,1
PLe,E24,MSc,3,haiku,3
PLe,E25,PLp,5,haiku,0
PLe,E26,PLs,1,haiku,0
PLe,E27,MSc,3,haiku,3
PLe,E28,PLp,4,haiku,3
PLe,E29,PLs,0,haiku,0
PLe,E30,MSc,2,haiku,2
PLe,E31,PLp,3,haiku,0
PLe,E32,PLe,5,haiku,5
PLe,E33,MSc,1,haiku,0
PLe,E34,PLp,3,haiku,0
PLe,E35,PLe,5,haiku,5
PLe,E36,MSc,1,haiku,0
PLe,E37,PLp,2,haiku,2
PLe,E38,PLe,4,haiku,4
PLe,E39,MSc,0,haiku,0
PLe,E40,PLp,1,haiku,0
PLe,E41,PLe,3,haiku,3
PLe,E42,MSc,0,haiku,0
PLe,E43,PLp,1,haiku,0
PLe,E44,PLe,3,haiku,3
PLe,E45,PLs,5,haiku,4
PLe,E46,PLp,0,haiku,0
PLe,E47,PLe,2,haiku,2
PLe,E48,PLs,4,haiku,1
PLe,E49,PLp,0,haiku,0
PLe,E50,PLe,1,haiku,1
PLe,E51,PLs,4,haiku,1
PLe,E52,MSc,5,haiku,5
PLe,E53,PLe,1,haiku,1
PLe,E54,PLs,3,haiku,2
PLe,E55,MSc,5,haiku,5
PLe,E56,PLe,0,haiku,0
PLe,E57,PLs,2,haiku,1
PLe,E58,MSc,4,haiku,5
PLe,E59,PLe,0,haiku,0
PLe,E60,PLs,2,haiku,2
PLe,E61,MSc,3,haiku,2
PLe,E62,PLp,5,haiku,0
PLe,E63,PLs,1,haiku,0
PLe,E64,MSc,3,haiku,3
PLe,E65,PLp,4,haiku,0
PLe,E66,PLs,0,haiku,0
PLe,E67,MSc,2,haiku,2
PLe,E68,PLp,4,haiku,0
PLe,E69,PLs,0,haiku,0
PLe,E70,MSc,2,haiku,2
PLe,E71,PLp,3,haiku,0
PLe,E72,PLe,5,haiku,5
PLe,E73,MSc,1,haiku,0
PLe,E74,PLp,2,haiku,2
PLe,E75,PLe,4,haiku,4
PLe,E76,MSc,1,haiku,0
PLe,E77,PLp,2,haiku,0
PLe,E01,PLe,4,sonnet,4
PLe,E02,MSc,0,sonnet,1
PLe,E03,PLp,1,sonnet,0
PLe,E04,PLe,3,sonnet,3
PLe,E05,PLs,5,sonnet,1
PLe,E06,PLp,0,sonnet,1
PLe,E07,PLe,2,sonnet,2
PLe,E08,PLs,5,sonnet,0
PLe,E09,PLp,0,sonnet,0
PLe,E10,PLe,2,sonnet,2
PLe,E11,PLs,4,sonnet,2
PLe,E12,PLp,0,sonnet,0
PLe,E13,PLe,1,sonnet,1
PLe,E14,PLs,3,sonnet,0
PLe,E15,MSc,5,sonnet,0
PLe,E16,PLe,0,sonnet,0
PLe,E17,PLs,3,sonnet,0
PLe,E18,MSc,4,sonnet,0
PLe,E19,PLe,0,sonnet,0
PLe,E20,PLs,2,sonnet,1
PLe,E21,MSc,4,sonnet,0
PLe,E22,PLp,5,sonnet,0
PLe,E23,PLs,1,sonnet,0
PLe,E24,MSc,3,sonnet,0
PLe,E25,PLp,5,sonnet,0
PLe,E26,PLs,1,sonnet,0
PLe,E27,MSc,3,sonnet,0
PLe,E28,PLp,4,sonnet,2
PLe,E29,PLs,0,sonnet,0
PLe,E30,MSc,2,sonnet,0
PLe,E31,PLp,3,sonnet,2
PLe,E32,PLe,5,sonnet,5
PLe,E33,MSc,1,sonnet,0
PLe,E34,PLp,3,sonnet,0
PLe,E35,PLe,5,sonnet,5
PLe,E36,MSc,1,sonnet,0
PLe,E37,PLp,2,sonnet,2
PLe,E38,PLe,4,sonnet,4
PLe,E39,MSc,0,sonnet,0
PLe,E40,PLp,1,sonnet,0
PLe,E41,PLe,3,sonnet,3
PLe,E42,MSc,0,sonnet,0
PLe,E43,PLp,1,sonnet,0
PLe,E44,PLe,3,sonnet,3
PLe,E45,PLs,5,sonnet,0
PLe,E46,PLp,0,sonnet,1
PLe,E47,PLe,2,sonnet,2
PLe,E48,PLs,4,sonnet,1
PLe,E49,PLp,0,sonnet,0
PLe,E50,PLe,1,sonnet,1
PLe,E51,PLs,4,sonnet,1
PLe,E52,MSc,5,sonnet,0
PLe,E53,PLe,1,sonnet,1
PLe,E54,PLs,3,sonnet,1
PLe,E55,MSc,5,sonnet,0
PLe,E56,PLe,0,sonnet,0
PLe,E57,PLs,2,sonnet,1
PLe,E58,MSc,4,sonnet,0
PLe,E59,PLe,0,sonnet,0
PLe,E60,PLs,2,sonnet,0
PLe,E61,MSc,3,sonnet,0
PLe,E62,PLp,5,sonnet,0
PLe,E63,PLs,1,sonnet,0
PLe,E64,MSc,3,sonnet,0
PLe,E65,PLp,4,sonnet,0
PLe,E66,PLs,0,sonnet,0
PLe,E67,MSc,2,sonnet,0
PLe,E68,PLp,4,sonnet,0
PLe,E69,PLs,0,sonnet,0
PLe,E70,MSc,2,sonnet,0
PLe,E71,PLp,3,sonnet,0
PLe,E72,PLe,5,sonnet,5
PLe,E73,MSc,1,sonnet,0
PLe,E74,PLp,2,sonnet,2
PLe,E75,PLe,4,sonnet,4
PLe,E76,MSc,1,sonnet,0
PLe,E77,PLp,2,sonnet,0
PLe,E01,PLe,4,opus,4
PLe,E02,MSc,0,opus,2
PLe,E03,PLp,1,opus,0
PLe,E04,PLe,3,opus,3
PLe,E05,PLs,5,opus,1
PLe,E06,PLp,0,opus,3
PLe,E07,PLe,2,opus,2
PLe,E08,PLs,5,opus,2
PLe,E09,PLp,0,opus,0
PLe,E10,PLe,2,opus,2
PLe,E11,PLs,4,opus,2
PLe,E12,PLp,0,opus,0
PLe,E13,PLe,1,opus,1
PLe,E14,PLs,3,opus,0
PLe,E15,MSc,5,opus,2
PLe,E16,PLe,0,opus,0
PLe,E17,PLs,3,opus,2
PLe,E18,MSc,4,opus,1
PLe,E19,PLe,0,opus,0
PLe,E20,PLs,2,opus,2
PLe,E21,MSc,4,opus,1
PLe,E22,PLp,5,opus,3
PLe,E23,PLs,1,opus,1
PLe,E24,MSc,3,opus,1
PLe,E25,PLp,5,opus,2
PLe,E26,PLs,1,opus,0
PLe,E27,MSc,3,opus,1
PLe,E28,PLp,4,opus,2
PLe,E29,PLs,0,opus,0
PLe,E30,MSc,2,opus,1
PLe,E31,PLp,3,opus,2
PLe,E32,PLe,5,opus,5
PLe,E33,MSc,1,opus,3
PLe,E34,PLp,3,opus,3
PLe,E35,PLe,5,opus,5
PLe,E36,MSc,1,opus,0
PLe,E37,PLp,2,opus,2
PLe,E38,PLe,4,opus,4
PLe,E39,MSc,0,opus,2
PLe,E40,PLp,1,opus,0
PLe,E41,PLe,3,opus,3
PLe,E42,MSc,0,opus,0
PLe,E43,PLp,1,opus,0
PLe,E44,PLe,3,opus,3
PLe,E45,PLs,5,opus,2
PLe,E46,PLp,0,opus,1
PLe,E47,PLe,2,opus,2
PLe,E48,PLs,4,opus,2
PLe,E49,PLp,0,opus,0
PLe,E50,PLe,1,opus,1
PLe,E51,PLs,4,opus,2
PLe,E52,MSc,5,opus,1
PLe,E53,PLe,1,opus,1
PLe,E54,PLs,3,opus,2
PLe,E55,MSc,5,opus,2
PLe,E56,PLe,0,opus,0
PLe,E57,PLs,2,opus,2
PLe,E58,MSc,4,opus,1
PLe,E59,PLe,0,opus,0
PLe,E60,PLs,2,opus,1
PLe,E61,MSc,3,opus,1
PLe,E62,PLp,5,opus,3
PLe,E63,PLs,1,opus,0
PLe,E64,MSc,3,opus,1
PLe,E65,PLp,4,opus,3
PLe,E66,PLs,0,opus,0
PLe,E67,MSc,2,opus,1
PLe,E68,PLp,4,opus,3
PLe,E69,PLs,0,opus,0
PLe,E70,MSc,2,opus,1
PLe,E71,PLp,3,opus,0
PLe,E72,PLe,5,opus,5
PLe,E73,MSc,1,opus,0
PLe,E74,PLp,2,opus,2
PLe,E75,PLe,4,opus,4
PLe,E76,MSc,1,opus,0
PLe,E77,PLp,2,opus,2
PLs,E01,PLe,4,haiku,3
PLs,E02,MSc,0,haiku,0
PLs,E03,PLp,1,haiku,0
PLs,E04,PLe,3,haiku,0
PLs,E05,PLs,5,haiku,5
PLs,E06,PLp,0,haiku,0
PLs,E07,PLe,2,haiku,0
PLs,E08,PLs,5,haiku,5
PLs,E09,PLp,0,haiku,0
PLs,E10,PLe,2,haiku,2
PLs,E11,PLs,4,haiku,4
PLs,E12,PLp,0,haiku,1
PLs,E13,PLe,1,haiku,1
PLs,E14,PLs,3,haiku,3
PLs,E15,MSc,5,haiku,1
PLs,E16,PLe,0,haiku,0
PLs,E17,PLs,3,haiku,3
PLs,E18,MSc,4,haiku,1
PLs,E19,PLe,0,haiku,1
PLs,E20,PLs,2,haiku,2
PLs,E21,MSc,4,haiku,1
PLs,E22,PLp,5,haiku,1
PLs,E23,PLs,1,haiku,1
PLs,E24,MSc,3,haiku,1
PLs,E25,PLp,5,haiku,1
PLs,E26,PLs,1,haiku,1
PLs,E27,MSc,3,haiku,1
PLs,E28,PLp,4,haiku,1
PLs,E29,PLs,0,haiku,0
PLs,E30,MSc,2,haiku,1
PLs,E31,PLp,3,haiku,1
PLs,E32,PLe,5,haiku,2
PLs,E33,MSc,1,haiku,0
PLs,E34,PLp,3,haiku,1
PLs,E35,PLe,5,haiku,2
PLs,E36,MSc,1,haiku,1
PLs,E37,PLp,2,haiku,1
PLs,E38,PLe,4,haiku,3
PLs,E39,MSc,0,haiku,1
PLs,E40,PLp,1,haiku,0
PLs,E41,PLe,3,haiku,0
PLs,E42,MSc,0,haiku,0
PLs,E43,PLp,1,haiku,1
PLs,E44,PLe,3,haiku,0
PLs,E45,PLs,5,haiku,5
PLs,E46,PLp,0,haiku,0
PLs,E47,PLe,2,haiku,0
PLs,E48,PLs,4,haiku,4
PLs,E49,PLp,0,haiku,0
PLs,E50,PLe,1,haiku,2
PLs,E51,PLs,4,haiku,4
PLs,E52,MSc,5,haiku,1
PLs,E53,PLe,1,haiku,0
PLs,E54,PLs,3,haiku,3
PLs,E55,MSc,5,haiku,1
PLs,E56,PLe,0,haiku,0
PLs,E57,PLs,2,haiku,2
PLs,E58,MSc,4,haiku,1
PLs,E59,PLe,0,haiku,0
PLs,E60,PLs,2,haiku,2
PLs,E61,MSc,3,haiku,1
PLs,E62,PLp,5,haiku,1
PLs,E63,PLs,1,haiku,1
PLs,E64,MSc,3,haiku,1
PLs,E65,PLp,4,haiku,1
PLs,E66,PLs,0,haiku,0
PLs,E67,MSc,2,haiku,2
PLs,E68,PLp,4,haiku,1
PLs,E69,PLs,0,haiku,0
PLs,E70,MSc,2,haiku,2
PLs,E71,PLp,3,haiku,0
PLs,E72,PLe,5,haiku,2
PLs,E73,MSc,1,haiku,1
PLs,E74,PLp,2,haiku,2
PLs,E75,PLe,4,haiku,2
PLs,E76,MSc,1,haiku,1
PLs,E77,PLp,2,haiku,1
PLs,E01,PLe,4,sonnet,3
PLs,E02,MSc,0,sonnet,0
PLs,E03,PLp,1,sonnet,0
PLs,E04,PLe,3,sonnet,0
PLs,E05,PLs,5,sonnet,5
PLs,E06,PLp,0,sonnet,0
PLs,E07,PLe,2,sonnet,0
PLs,E08,PLs,5,sonnet,5
PLs,E09,PLp,0,sonnet,0
PLs,E10,PLe,2,sonnet,0
PLs,E11,PLs,4,sonnet,4
PLs,E12,PLp,0,sonnet,0
PLs,E13,PLe,1,sonnet,0
PLs,E14,PLs,3,sonnet,3
PLs,E15,MSc,5,sonnet,0
PLs,E16,PLe,0,sonnet,0
PLs,E17,PLs,3,sonnet,3
PLs,E18,MSc,4,sonnet,0
PLs,E19,PLe,0,sonnet,1
PLs,E20,PLs,2,sonnet,2
PLs,E21,MSc,4,sonnet,0
PLs,E22,PLp,5,sonnet,0
PLs,E23,PLs,1,sonnet,1
PLs,E24,MSc,3,sonnet,0
PLs,E25,PLp,5,sonnet,0
PLs,E26,PLs,1,sonnet,1
PLs,E27,MSc,3,sonnet,0
PLs,E28,PLp,4,sonnet,0
PLs,E29,PLs,0,sonnet,0
PLs,E30,MSc,2,sonnet,2
PLs,E31,PLp,3,sonnet,0
PLs,E32,PLe,5,sonnet,2
PLs,E33,MSc,1,sonnet,0
PLs,E34,PLp,3,sonnet,2
PLs,E35,PLe,5,sonnet,0
PLs,E36,MSc,1,sonnet,1
PLs,E37,PLp,2,sonnet,0
PLs,E38,PLe,4,sonnet,0
PLs,E39,MSc,0,sonnet,2
PLs,E40,PLp,1,sonnet,0
PLs,E41,PLe,3,sonnet,0
PLs,E42,MSc,0,sonnet,0
PLs,E43,PLp,1,sonnet,1
PLs,E44,PLe,3,sonnet,0
PLs,E45,PLs,5,sonnet,5
PLs,E46,PLp,0,sonnet,0
PLs,E47,PLe,2,sonnet,1
PLs,E48,PLs,4,sonnet,4
PLs,E49,PLp,0,sonnet,0
PLs,E50,PLe,1,sonnet,1
PLs,E51,PLs,4,sonnet,4
PLs,E52,MSc,5,sonnet,0
PLs,E53,PLe,1,sonnet,0
PLs,E54,PLs,3,sonnet,3
PLs,E55,MSc,5,sonnet,0
PLs,E56,PLe,0,sonnet,0
PLs,E57,PLs,2,sonnet,2
PLs,E58,MSc,4,sonnet,0
PLs,E59,PLe,0,sonnet,0
PLs,E60,PLs,2,sonnet,2
PLs,E61,MSc,3,sonnet,0
PLs,E62,PLp,5,sonnet,0
PLs,E63,PLs,1,sonnet,1
PLs,E64,MSc,3,sonnet,0
PLs,E65,PLp,4,sonnet,0
PLs,E66,PLs,0,sonnet,0
PLs,E67,MSc,2,sonnet,2
PLs,E68,PLp,4,sonnet,0
PLs,E69,PLs,0,sonnet,0
PLs,E70,MSc,2,sonnet,2
PLs,E71,PLp,3,sonnet,0
PLs,E72,PLe,5,sonnet,0
PLs,E73,MSc,1,sonnet,0
PLs,E74,PLp,2,sonnet,0
PLs,E75,PLe,4,sonnet,0
PLs,E76,MSc,1,sonnet,0
PLs,E77,PLp,2,sonnet,1
PLs,E01,PLe,4,opus,0
PLs,E02,MSc,0,opus,1
PLs,E03,PLp,1,opus,1
PLs,E04,PLe,3,opus,1
PLs,E05,PLs,5,opus,5
PLs,E06,PLp,0,opus,0
PLs,E07,PLe,2,opus,1
PLs,E08,PLs,5,opus,5
PLs,E09,PLp,0,opus,0
PLs,E10,PLe,2,opus,0
PLs,E11,PLs,4,opus,4
PLs,E12,PLp,0,opus,0
PLs,E13,PLe,1,opus,1
PLs,E14,PLs,3,opus,3
PLs,E15,MSc,5,opus,1
PLs,E16,PLe,0,opus,0
PLs,E17,PLs,3,opus,3
PLs,E18,MSc,4,opus,1
PLs,E19,PLe,0,opus,1
PLs,E20,PLs,2,opus,2
PLs,E21,MSc,4,opus,1
PLs,E22,PLp,5,opus,0
PLs,E23,PLs,1,opus,1
PLs,E24,MSc,3,opus,1
PLs,E25,PLp,5,opus,0
PLs,E26,PLs,1,opus,1
PLs,E27,MSc,3,opus,1
PLs,E28,PLp,4,opus,0
PLs,E29,PLs,0,opus,0
PLs,E30,MSc,2,opus,1
PLs,E31,PLp,3,opus,0
PLs,E32,PLe,5,opus,3
PLs,E33,MSc,1,opus,0
PLs,E34,PLp,3,opus,2
PLs,E35,PLe,5,opus,2
PLs,E36,MSc,1,opus,1
PLs,E37,PLp,2,opus,1
PLs,E38,PLe,4,opus,1
PLs,E39,MSc,0,opus,2
PLs,E40,PLp,1,opus,0
PLs,E41,PLe,3,opus,1
PLs,E42,MSc,0,opus,0
PLs,E43,PLp,1,opus,1
PLs,E44,PLe,3,opus,0
PLs,E45,PLs,5,opus,5
PLs,E46,PLp,0,opus,1
PLs,E47,PLe,2,opus,1
PLs,E48,PLs,4,opus,4
PLs,E49,PLp,0,opus,0
PLs,E50,PLe,1,opus,1
PLs,E51,PLs,4,opus,4
PLs,E52,MSc,5,opus,1
PLs,E53,PLe,1,opus,1
PLs,E54,PLs,3,opus,3
PLs,E55,MSc,5,opus,1
PLs,E56,PLe,0,opus,0
PLs,E57,PLs,2,opus,2
PLs,E58,MSc,4,opus,1
PLs,E59,PLe,0,opus,0
PLs,E60,PLs,2,opus,2
PLs,E61,MSc,3,opus,1
PLs,E62,PLp,5,opus,0
PLs,E63,PLs,1,opus,1
PLs,E64,MSc,3,opus,1
PLs,E65,PLp,4,opus,1
PLs,E66,PLs,0,opus,0
PLs,E67,MSc,2,opus,1
PLs,E68,PLp,4,opus,1
PLs,E69,PLs,0,opus,0
PLs,E70,MSc,2,opus,1
PLs,E71,PLp,3,opus,0
PLs,E72,PLe,5,opus,1
PLs,E73,MSc,1,opus,0
PLs,E74,PLp,2,opus,1
PLs,E75,PLe,4,opus,1
PLs,E76,MSc,1,opus,0
PLs,E77,PLp,2,opus,2
MSc,E01,PLe,4,haiku,0
MSc,E02,MSc,0,haiku,0
MSc,E03,PLp,1,haiku,1
MSc,E04,PLe,3,haiku,0
MSc,E05,PLs,5,haiku,0
MSc,E06,PLp,0,haiku,0
MSc,E07,PLe,2,haiku,0
MSc,E08,PLs,5,haiku,0
MSc,E09,PLp,0,haiku,0
MSc,E10,PLe,2,haiku,0
MSc,E11,PLs,4,haiku,0
MSc,E12,PLp,0,haiku,0
MSc,E13,PLe,1,haiku,0
MSc,E14,PLs,3,haiku,0
MSc,E15,MSc,5,haiku,5
MSc,E16,PLe,0,haiku,0
MSc,E17,PLs,3,haiku,0
MSc,E18,MSc,4,haiku,4
MSc,E19,PLe,0,haiku,0
MSc,E20,PLs,2,haiku,0
MSc,E21,MSc,4,haiku,4
MSc,E22,PLp,5,haiku,0
MSc,E23,PLs,1,haiku,0
MSc,E24,MSc,3,haiku,3
MSc,E25,PLp,5,haiku,0
MSc,E26,PLs,1,haiku,0
MSc,E27,MSc,3,haiku,3
MSc,E28,PLp,4,haiku,0
MSc,E29,PLs,0,haiku,0
MSc,E30,MSc,2,haiku,2
MSc,E31,PLp,3,haiku,0
MSc,E32,PLe,5,haiku,0
MSc,E33,MSc,1,haiku,1
MSc,E34,PLp,3,haiku,0
MSc,E35,PLe,5,haiku,0
MSc,E36,MSc,1,haiku,1
MSc,E37,PLp,2,haiku,0
MSc,E38,PLe,4,haiku,0
MSc,E39,MSc,0,haiku,0
MSc,E40,PLp,1,haiku,1
MSc,E41,PLe,3,haiku,0
