pair_id,contrast_level,history_length,cost_to_go,object_location_updates,num_reversals,interference_count,object_complexity,state_visible_prompt,history_only_prompt,annotator,date,sv_manual_level,ho_manual_level,delta_direction_ok,notes
memw-L7-low-01,low,7,2,1,0,0,1,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, and item3 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer alone crossed to the right bank.
4. farmer alone crossed to the left bank.
5. farmer alone crossed to the right bank.
6. farmer alone crossed to the left bank.
7. farmer alone crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L7-low-02,low,7,4,2,0,0,2,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item3. Right bank: farmer, item1, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, and item3 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer alone crossed to the right bank.
4. farmer alone crossed to the left bank.
5. farmer alone crossed to the right bank.
6. farmer alone crossed to the left bank.
7. farmer with item1 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L7-medium-01,medium,7,2,10,7,2,19,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item3. Right bank: farmer, item1, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, and item3 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2, and item3 crossed to the right bank.
2. farmer with item2, and item3 crossed to the left bank.
3. farmer with item1, and item2 crossed to the right bank.
4. farmer with item2 crossed to the left bank.
5. farmer with item2 crossed to the right bank.
6. farmer with item2 crossed to the left bank.
7. farmer with item2 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L7-medium-02,medium,7,4,10,7,2,19,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: item1, item4. Right bank: farmer, item2, item3. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, item3, and item4 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item1, and item3 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer with item2 crossed to the right bank.
4. farmer with item1, and item2 crossed to the left bank.
5. farmer with item1, and item2 crossed to the right bank.
6. farmer with item1, and item2 crossed to the left bank.
7. farmer with item2 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L7-high-01,high,7,2,26,21,5,52,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item2 and the item4 must not be left together without the farmer. The item2 and the item5 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item3 and the item5 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item5. Right bank: farmer, item1, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item2 and the item4 must not be left together without the farmer. The item2 and the item5 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item3 and the item5 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, item3, item4, and item5 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item1, item2, item3, and item5 crossed to the right bank.
2. farmer with item1, item2, and item3 crossed to the left bank.
3. farmer with item1, item2, and item4 crossed to the right bank.
4. farmer with item1, item2, item4, and item5 crossed to the left bank.
5. farmer with item2, item3, item4, and item5 crossed to the right bank.
6. farmer with item2, item3, item4, and item5 crossed to the left bank.
7. farmer with item1, item2, item3, and item4 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L7-high-02,high,7,4,19,12,5,36,"You are partway through a river-crossing puzzle. The boat holds at most 3 and needs at least one aboard to row. On an unattended bank, the C1/C2/C3/C4 must never outnumber the M1/M2/M3/M4 when any of the latter are present. Current situation -- Left bank: C1, C3, C4. Right bank: C2, M1, M2, M3, M4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat holds at most 3 and needs at least one aboard to row. On an unattended bank, the C1/C2/C3/C4 must never outnumber the M1/M2/M3/M4 when any of the latter are present. Goal: get everything to the right bank. Initial state: M1, M2, M3, M4, C1, C2, C3, and C4 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. C2, C3, and C4 crossed to the right bank.
2. C3, and C4 crossed to the left bank.
3. C3, M2, and M4 crossed to the right bank.
4. C3, and M2 crossed to the left bank.
5. M1, M2, and M3 crossed to the right bank.
6. M1, M2, and M4 crossed to the left bank.
7. M1, M2, and M4 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L10-low-01,low,10,1,1,0,0,1,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item3. Right bank: item2. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, and item3 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer alone crossed to the right bank.
4. farmer alone crossed to the left bank.
5. farmer alone crossed to the right bank.
6. farmer alone crossed to the left bank.
7. farmer alone crossed to the right bank.
8. farmer alone crossed to the left bank.
9. farmer alone crossed to the right bank.
10. farmer alone crossed to the left bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L10-low-02,low,10,3,3,1,1,5,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item2. Right bank: item3. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, and item3 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer alone crossed to the right bank.
4. farmer alone crossed to the left bank.
5. farmer alone crossed to the right bank.
6. farmer alone crossed to the left bank.
7. farmer alone crossed to the right bank.
8. farmer alone crossed to the left bank.
9. farmer with item3 crossed to the right bank.
10. farmer with item2 crossed to the left bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L10-medium-01,medium,10,3,18,15,3,36,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item2, item3. Right bank: nothing. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, and item3 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2, and item3 crossed to the right bank.
2. farmer with item2, and item3 crossed to the left bank.
3. farmer with item1, and item3 crossed to the right bank.
4. farmer with item1, and item3 crossed to the left bank.
5. farmer with item1, and item2 crossed to the right bank.
6. farmer with item2 crossed to the left bank.
7. farmer with item2 crossed to the right bank.
8. farmer with item1, and item2 crossed to the left bank.
9. farmer with item2, and item3 crossed to the right bank.
10. farmer with item2, and item3 crossed to the left bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L10-medium-02,medium,10,1,18,14,4,36,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item3. Right bank: item2, item4. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, item3, and item4 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2, and item4 crossed to the right bank.
2. farmer with item2, and item4 crossed to the left bank.
3. farmer with item2, and item3 crossed to the right bank.
4. farmer with item2 crossed to the left bank.
5. farmer with item1, and item4 crossed to the right bank.
6. farmer with item3, and item4 crossed to the left bank.
7. farmer with item2, and item3 crossed to the right bank.
8. farmer with item1, and item3 crossed to the left bank.
9. farmer with item1, and item4 crossed to the right bank.
10. farmer with item1 crossed to the left bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L10-high-01,high,10,3,38,33,5,76,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item2 and the item4 must not be left together without the farmer. The item2 and the item5 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item3 and the item5 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item2, item3, item4, item5. Right bank: nothing. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item2 and the item4 must not be left together without the farmer. The item2 and the item5 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item3 and the item5 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, item3, item4, and item5 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item1, item3, item4, and item5 crossed to the right bank.
2. farmer with item1, item3, and item4 crossed to the left bank.
3. farmer with item1, item2, and item4 crossed to the right bank.
4. farmer with item1, item2, item4, and item5 crossed to the left bank.
5. farmer with item2, item3, item4, and item5 crossed to the right bank.
6. farmer with item2, item3, item4, and item5 crossed to the left bank.
7. farmer with item1, item2, item4, and item5 crossed to the right bank.
8. farmer with item1, item2, item4, and item5 crossed to the left bank.
9. farmer with item1, item2, item4, and item5 crossed to the right bank.
10. farmer with item1, item2, item4, and item5 crossed to the left bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L10-high-02,high,10,1,33,28,5,66,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item2, item3, item5. Right bank: item4. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, item3, item4, and item5 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item1, item3, and item5 crossed to the right bank.
2. farmer with item1, item3, and item5 crossed to the left bank.
3. farmer with item1, item3, item4, and item5 crossed to the right bank.
4. farmer with item1, item4, and item5 crossed to the left bank.
5. farmer with item1, item4, and item5 crossed to the right bank.
6. farmer with item1, item3, item4, and item5 crossed to the left bank.
7. farmer with item1, item2, item4, and item5 crossed to the right bank.
8. farmer with item1, item2, item4, and item5 crossed to the left bank.
9. farmer with item2, item3, and item4 crossed to the right bank.
10. farmer with item2, and item3 crossed to the left bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
