custom_id,instance,length,d_phi,cost_to_go_start,cost_to_go_end,min_phi_dip,n_optimal,n_lateral,n_backward,n_recovering,n_fatal,n_illegal,reaches_goal
chain-5-boat-2#seg2-5,chain-5-boat-2,3,3,5,2,0,3,0,0,0,0,1,False
chain-5-boat-2#seg2-6,chain-5-boat-2,4,2,5,3,0,3,0,1,0,0,2,False
chain-5-boat-2#seg3-5,chain-5-boat-2,2,2,4,2,0,2,0,0,0,0,1,False
chain-5-boat-2#seg3-6,chain-5-boat-2,3,1,4,3,0,2,0,1,0,0,2,False
chain-5-boat-2#seg3-7,chain-5-boat-2,4,0,4,4,0,2,0,2,0,0,2,False
chain-5-boat-2#seg4-6,chain-5-boat-2,2,0,3,3,0,1,0,1,0,0,1,False
chain-5-boat-2#seg4-7,chain-5-boat-2,3,-1,3,4,1,1,0,2,0,0,1,False
chain-5-boat-2#seg4-8,chain-5-boat-2,4,0,3,3,1,2,0,2,0,0,4,False
chain-5-boat-2#seg5-7,chain-5-boat-2,2,-2,2,4,2,0,0,2,0,0,1,False
chain-5-boat-2#seg5-8,chain-5-boat-2,3,-1,2,3,2,1,0,2,0,0,4,False
chain-5-boat-2#seg5-9,chain-5-boat-2,4,-2,2,4,2,1,0,3,0,0,4,False
chain-5-boat-2#seg6-8,chain-5-boat-2,2,0,3,3,1,1,0,1,0,0,3,False
chain-5-boat-2#seg6-9,chain-5-boat-2,3,-1,3,4,1,1,0,2,0,0,3,False
chain-5-boat-2#seg6-10,chain-5-boat-2,4,-2,3,5,2,1,0,3,0,0,4,False
chain-5-boat-2#seg7-9,chain-5-boat-2,2,0,4,4,0,1,0,1,0,0,3,False
chain-5-boat-2#seg7-10,chain-5-boat-2,3,-1,4,5,1,1,0,2,0,0,4,False
chain-5-boat-2#seg7-11,chain-5-boat-2,4,0,4,4,1,2,0,2,0,0,4,True
chain-5-boat-2#seg8-10,chain-5-boat-2,2,-2,3,5,2,0,0,2,0,0,1,False
chain-5-boat-2#seg8-11,chain-5-boat-2,3,-1,3,4,2,1,0,2,0,0,1,True
chain-5-boat-2#seg9-11,chain-5-boat-2,2,0,4,4,1,1,0,1,0,0,1,True
complete-4-boat-3#seg0-2,complete-4-boat-3,2,2,3,1,0,2,0,0,0,0,1,False
complete-4-boat-3#seg0-3,complete-4-boat-3,3,1,3,2,0,2,0,1,0,0,1,False
complete-4-boat-3#seg0-4,complete-4-boat-3,4,2,3,1,0,3,0,1,0,0,1,False
complete-4-boat-3#seg1-3,complete-4-boat-3,2,0,2,2,0,1,0,1,0,0,0,False
complete-4-boat-3#seg1-4,complete-4-boat-3,3,1,2,1,0,2,0,1,0,0,0,False
complete-4-boat-3#seg1-5,complete-4-boat-3,4,0,2,2,0,2,0,2,0,0,0,False
complete-4-boat-3#seg2-4,complete-4-boat-3,2,0,1,1,1,1,0,1,0,0,0,False
complete-4-boat-3#seg2-5,complete-4-boat-3,3,-1,1,2,1,1,0,2,0,0,0,False
complete-4-boat-3#seg2-6,complete-4-boat-3,4,0,1,1,1,2,0,2,0,0,0,False
complete-4-boat-3#seg3-5,complete-4-boat-3,2,0,2,2,0,1,0,1,0,0,0,False
complete-4-boat-3#seg3-6,complete-4-boat-3,3,1,2,1,0,2,0,1,0,0,0,False
complete-4-boat-3#seg3-7,complete-4-boat-3,4,0,2,2,0,2,0,2,0,0,0,False
complete-4-boat-3#seg4-6,complete-4-boat-3,2,0,1,1,1,1,0,1,0,0,0,False
complete-4-boat-3#seg4-7,complete-4-boat-3,3,-1,1,2,1,1,0,2,0,0,0,False
complete-4-boat-3#seg4-8,complete-4-boat-3,4,0,1,1,1,2,0,2,0,0,0,False
complete-4-boat-3#seg5-7,complete-4-boat-3,2,0,2,2,0,1,0,1,0,0,0,False
complete-4-boat-3#seg5-8,complete-4-boat-3,3,1,2,1,0,2,0,1,0,0,0,False
complete-4-boat-3#seg5-9,complete-4-boat-3,4,2,2,0,0,3,0,1,0,0,0,True
complete-4-boat-3#seg6-8,complete-4-boat-3,2,0,1,1,1,1,0,1,0,0,0,False
complete-4-boat-3#seg6-9,complete-4-boat-3,3,1,1,0,1,2,0,1,0,0,0,True
complete-4-boat-3#seg7-9,complete-4-boat-3,2,2,2,0,0,2,0,0,0,0,0,True
cycle-4-boat-2#seg0-2,cycle-4-boat-2,2,0,3,3,0,1,0,1,0,0,0,False
cycle-4-boat-2#seg0-3,cycle-4-boat-2,3,1,3,2,0,2,0,1,0,0,0,False
cycle-4-boat-2#seg0-4,cycle-4-boat-2,4,2,3,1,0,3,0,1,0,0,1,False
cycle-4-boat-2#seg1-3,cycle-4-boat-2,2,0,2,2,1,1,0,1,0,0,0,False
cycle-4-boat-2#seg1-4,cycle-4-boat-2,3,1,2,1,1,2,0,1,0,0,1,False
cycle-4-boat-2#seg1-5,cycle-4-boat-2,4,2,2,0,1,3,0,1,0,0,1,True
cycle-4-boat-2#seg2-4,cycle-4-boat-2,2,2,3,1,0,2,0,0,0,0,1,False
cycle-4-boat-2#seg2-5,cycle-4-boat-2,3,3,3,0,0,3,0,0,0,0,1,True
cycle-4-boat-2#seg3-5,cycle-4-boat-2,2,2,2,0,0,2,0,0,0,0,1,True
star-4-boat-2#seg0-2,star-4-boat-2,2,2,5,3,0,2,0,0,0,0,1,False
star-4-boat-2#seg0-3,star-4-boat-2,3,3,5,2,0,3,0,0,0,0,1,False
star-4-boat-2#seg0-4,star-4-boat-2,4,4,5,1,0,4,0,0,0,0,1,False
star-4-boat-2#seg1-3,star-4-boat-2,2,2,4,2,0,2,0,0,0,0,1,False
star-4-boat-2#seg1-4,star-4-boat-2,3,3,4,1,0,3,0,0,0,0,1,False
star-4-boat-2#seg1-5,star-4-boat-2,4,4,4,0,0,4,0,0,0,0,1,True
star-4-boat-2#seg2-4,star-4-boat-2,2,2,3,1,0,2,0,0,0,0,0,False
star-4-boat-2#seg2-5,star-4-boat-2,3,3,3,0,0,3,0,0,0,0,0,True
star-4-boat-2#seg3-5,star-4-boat-2,2,2,2,0,0,2,0,0,0,0,0,True
missionaries-cannibals-3#seg0-2,missionaries-cannibals-3,2,2,11,9,0,2,0,0,0,0,0,False
missionaries-cannibals-3#seg0-3,missionaries-cannibals-3,3,3,11,8,0,3,0,0,0,0,1,False
missionaries-cannibals-3#seg0-4,missionaries-cannibals-3,4,4,11,7,0,4,0,0,0,0,1,False
missionaries-cannibals-3#seg1-3,missionaries-cannibals-3,2,2,10,8,0,2,0,0,0,0,1,False
missionaries-cannibals-3#seg1-4,missionaries-cannibals-3,3,3,10,7,0,3,0,0,0,0,1,False
missionaries-cannibals-3#seg1-5,missionaries-cannibals-3,4,4,10,6,0,4,0,0,0,0,1,False
missionaries-cannibals-3#seg2-4,missionaries-cannibals-3,2,2,9,7,0,2,0,0,0,0,1,False
missionaries-cannibals-3#seg2-5,missionaries-cannibals-3,3,3,9,6,0,3,0,0,0,0,1,False
missionaries-cannibals-3#seg2-6,missionaries-cannibals-3,4,4,9,5,0,4,0,0,0,0,1,False
missionaries-cannibals-3#seg3-5,missionaries-cannibals-3,2,2,8,6,0,2,0,0,0,0,0,False
missionaries-cannibals-3#seg3-6,missionaries-cannibals-3,3,3,8,5,0,3,0,0,0,0,0,False
missionaries-cannibals-3#seg3-7,missionaries-cannibals-3,4,4,8,4,0,4,0,0,0,0,1,False
missionaries-cannibals-3#seg4-6,missionaries-cannibals-3,2,2,7,5,0,2,0,0,0,0,0,False
missionaries-cannibals-3#seg4-7,missionaries-cannibals-3,3,3,7,4,0,3,0,0,0,0,1,False
missionaries-cannibals-3#seg4-8,missionaries-cannibals-3,4,4,7,3,0,4,0,0,0,0,1,False
missionaries-cannibals-3#seg5-7,missionaries-cannibals-3,2,2,6,4,0,2,0,0,0,0,1,False
missionaries-cannibals-3#seg5-8,missionaries-cannibals-3,3,3,6,3,0,3,0,0,0,0,1,False
missionaries-cannibals-3#seg5-9,missionaries-cannibals-3,4,4,6,2,0,4,0,0,0,0,1,False
missionaries-cannibals-3#seg6-8,missionaries-cannibals-3,2,2,5,3,0,2,0,0,0,0,1,False
missionaries-cannibals-3#seg6-9,missionaries-cannibals-3,3,3,5,2,0,3,0,0,0,0,1,False
missionaries-cannibals-3#seg6-10,missionaries-cannibals-3,4,4,5,1,0,4,0,0,0,0,1,False
missionaries-cannibals-3#seg7-9,missionaries-cannibals-3,2,2,4,2,0,2,0,0,0,0,0,False
missionaries-cannibals-3#seg7-10,missionaries-cannibals-3,3,3,4,1,0,3,0,0,0,0,0,False
missionaries-cannibals-3#seg7-11,missionaries-cannibals-3,4,4,4,0,0,4,0,0,0,0,0,True
missionaries-cannibals-3#seg8-10,missionaries-cannibals-3,2,2,3,1,0,2,0,0,0,0,0,False
missionaries-cannibals-3#seg8-11,missionaries-cannibals-3,3,3,3,0,0,3,0,0,0,0,0,True
missionaries-cannibals-3#seg9-11,missionaries-cannibals-3,2,2,2,0,0,2,0,0,0,0,0,True
