pair_id,underlying_state_id,custom_id_state_visible,custom_id_history_only,puzzle_id,step_idx,true_left,true_right,true_boat,cost_to_go,history_length,boat_side_updates,object_location_updates,num_unique_objects_moved,num_reversals,interference_count,num_object_moves,num_location_updates,num_repeated_moves
star-5-boat-4#s1,star-5-boat-4#s1,star-5-boat-4#s1,star-5-boat-4#s1__history_only,star-5-boat-4,1,item1,farmer;item2;item3;item4;item5,right,2,1,1,4,4,0,0,4,6,0
star-6-boat-2#s2,star-6-boat-2#s2,star-6-boat-2#s2,star-6-boat-2#s2__history_only,star-6-boat-2,2,farmer;item1;item2;item3;item4,item5;item6,left,5,4,4,4,3,1,1,4,12,4
star-6-boat-3#s2,star-6-boat-3#s2,star-6-boat-3#s2,star-6-boat-3#s2__history_only,star-6-boat-3,2,farmer;item1;item2;item3;item4,item5;item6,left,3,2,2,4,3,1,1,4,8,2
star-6-boat-4#s1,star-6-boat-4#s1,star-6-boat-4#s1,star-6-boat-4#s1__history_only,star-6-boat-4,1,item1,farmer;item2;item3;item4;item5;item6,right,2,3,3,7,6,1,1,7,13,3
cycle-3-boat-2#s1,cycle-3-boat-2#s1,cycle-3-boat-2#s1,cycle-3-boat-2#s1__history_only,cycle-3-boat-2,1,item2,farmer;item1;item3,right,2,1,1,2,2,0,0,2,4,0
cycle-3-boat-3#s0,cycle-3-boat-3#s0,cycle-3-boat-3#s0,cycle-3-boat-3#s0__history_only,cycle-3-boat-3,0,farmer;item1;item2,item3,left,1,2,2,3,2,1,1,3,7,2
cycle-3-boat-4#s0,cycle-3-boat-4#s0,cycle-3-boat-4#s0,cycle-3-boat-4#s0__history_only,cycle-3-boat-4,0,farmer;item1;item2,item3,left,1,2,2,3,2,1,1,3,7,2
cycle-4-boat-2#s1,cycle-4-boat-2#s1,cycle-4-boat-2#s1,cycle-4-boat-2#s1__history_only,cycle-4-boat-2,1,item1;item3,farmer;item2;item4,right,2,1,1,2,2,0,0,2,4,0
cycle-4-boat-3#s1,cycle-4-boat-3#s1,cycle-4-boat-3#s1,cycle-4-boat-3#s1__history_only,cycle-4-boat-3,1,item1;item3,farmer;item2;item4,right,2,1,1,2,2,0,0,2,4,0
cycle-4-boat-4#s0,cycle-4-boat-4#s0,cycle-4-boat-4#s0,cycle-4-boat-4#s0__history_only,cycle-4-boat-4,0,farmer;item1;item3,item2;item4,left,1,2,2,2,2,0,0,2,6,1
cycle-5-boat-3#s1,cycle-5-boat-3#s1,cycle-5-boat-3#s1,cycle-5-boat-3#s1__history_only,cycle-5-boat-3,1,item2;item4,farmer;item1;item3;item5,right,2,1,1,3,3,0,0,3,5,0
cycle-5-boat-4#s1,cycle-5-boat-4#s1,cycle-5-boat-4#s1,cycle-5-boat-4#s1__history_only,cycle-5-boat-4,1,item2;item4,farmer;item1;item3;item5,right,2,1,1,3,3,0,0,3,5,0
cycle-6-boat-3#s1,cycle-6-boat-3#s1,cycle-6-boat-3#s1,cycle-6-boat-3#s1__history_only,cycle-6-boat-3,1,item1;item3;item5,farmer;item2;item4;item6,right,2,1,1,3,3,0,0,3,5,0
cycle-6-boat-4#s1,cycle-6-boat-4#s1,cycle-6-boat-4#s1,cycle-6-boat-4#s1__history_only,cycle-6-boat-4,1,item1;item3;item5,farmer;item2;item4;item6,right,2,1,1,3,3,0,0,3,5,0
complete-3-boat-2#s1,complete-3-boat-2#s1,complete-3-boat-2#s1,complete-3-boat-2#s1__history_only,complete-3-boat-2,1,item2,farmer;item1;item3,right,2,1,1,2,2,0,0,2,4,0
complete-3-boat-3#s0,complete-3-boat-3#s0,complete-3-boat-3#s0,complete-3-boat-3#s0__history_only,complete-3-boat-3,0,farmer;item1;item2,item3,left,1,2,2,3,2,1,1,3,7,2
complete-3-boat-4#s0,complete-3-boat-4#s0,complete-3-boat-4#s0,complete-3-boat-4#s0__history_only,complete-3-boat-4,0,farmer;item1;item2,item3,left,1,2,2,3,2,1,1,3,7,2
complete-4-boat-3#s1,complete-4-boat-3#s1,complete-4-boat-3#s1,complete-4-boat-3#s1__history_only,complete-4-boat-3,1,item3,farmer;item1;item2;item4,right,2,1,1,3,3,0,0,3,5,0
complete-4-boat-4#s0,complete-4-boat-4#s0,complete-4-boat-4#s0,complete-4-boat-4#s0__history_only,complete-4-boat-4,0,farmer;item1;item2;item3,item4,left,1,2,2,5,3,2,2,5,9,3
complete-5-boat-4#s1,complete-5-boat-4#s1,complete-5-boat-4#s1,complete-5-boat-4#s1__history_only,complete-5-boat-4,1,item4,farmer;item1;item2;item3;item5,right,2,1,1,4,4,0,0,4,6,0
missionaries-cannibals-3#s2,missionaries-cannibals-3#s2,missionaries-cannibals-3#s2,missionaries-cannibals-3#s2__history_only,missionaries-cannibals-3,2,C3;M1;M2;M3,C1;C2,left,7,4,4,6,3,3,2,6,10,3
missionaries-cannibals-4#s2,missionaries-cannibals-4#s2,missionaries-cannibals-4#s2,missionaries-cannibals-4#s2__history_only,missionaries-cannibals-4,2,C2;C3;C4;M1;M2;M3,C1;M4,left,5,4,4,8,4,4,3,8,12,4
