custom_id,instance,dist_to_goal
star-4-boat-3#s0,star-4-boat-3,1
star-4-boat-3#s1,star-4-boat-3,2
star-4-boat-3#s2,star-4-boat-3,3
star-4-boat-4#s0,star-4-boat-4,1
star-4-boat-4#s1,star-4-boat-4,2
star-5-boat-2#s0,star-5-boat-2,1
star-5-boat-2#s1,star-5-boat-2,3
star-5-boat-2#s2,star-5-boat-2,4
star-5-boat-2#s3,star-5-boat-2,5
star-5-boat-2#s4,star-5-boat-2,7
star-5-boat-3#s0,star-5-boat-3,1
star-5-boat-3#s1,star-5-boat-3,2
star-5-boat-3#s2,star-5-boat-3,3
star-5-boat-3#s3,star-5-boat-3,4
star-5-boat-4#s0,star-5-boat-4,1
star-5-boat-4#s1,star-5-boat-4,2
star-5-boat-4#s2,star-5-boat-4,3
star-6-boat-2#s0,star-6-boat-2,1
star-6-boat-2#s1,star-6-boat-2,3
star-6-boat-2#s2,star-6-boat-2,5
star-6-boat-2#s3,star-6-boat-2,7
star-6-boat-2#s4,star-6-boat-2,9
star-6-boat-3#s0,star-6-boat-3,1
star-6-boat-3#s1,star-6-boat-3,2
star-6-boat-3#s2,star-6-boat-3,3
star-6-boat-3#s3,star-6-boat-3,4
star-6-boat-3#s4,star-6-boat-3,5
star-6-boat-4#s0,star-6-boat-4,1
star-6-boat-4#s1,star-6-boat-4,2
star-6-boat-4#s2,star-6-boat-4,3
star-6-boat-4#s3,star-6-boat-4,4
cycle-3-boat-2#s0,cycle-3-boat-2,1
cycle-3-boat-2#s1,cycle-3-boat-2,2
cycle-3-boat-2#s2,cycle-3-boat-2,3
cycle-3-boat-3#s0,cycle-3-boat-3,1
cycle-3-boat-3#s1,cycle-3-boat-3,2
cycle-3-boat-4#s0,cycle-3-boat-4,1
cycle-3-boat-4#s1,cycle-3-boat-4,2
cycle-4-boat-2#s0,cycle-4-boat-2,1
cycle-4-boat-2#s1,cycle-4-boat-2,2
cycle-4-boat-2#s2,cycle-4-boat-2,3
cycle-4-boat-3#s0,cycle-4-boat-3,1
cycle-4-boat-3#s1,cycle-4-boat-3,2
cycle-4-boat-3#s2,cycle-4-boat-3,3
cycle-4-boat-4#s0,cycle-4-boat-4,1
cycle-4-boat-4#s1,cycle-4-boat-4,2
cycle-5-boat-3#s0,cycle-5-boat-3,1
cycle-5-boat-3#s1,cycle-5-boat-3,2
cycle-5-boat-3#s2,cycle-5-boat-3,3
cycle-5-boat-4#s0,cycle-5-boat-4,1
cycle-5-boat-4#s1,cycle-5-boat-4,2
cycle-5-boat-4#s2,cycle-5-boat-4,3
cycle-6-boat-3#s0,cycle-6-boat-3,1
cycle-6-boat-3#s1,cycle-6-boat-3,2
cycle-6-boat-3#s2,cycle-6-boat-3,3
cycle-6-boat-3#s3,cycle-6-boat-3,4
cycle-6-boat-4#s0,cycle-6-boat-4,1
cycle-6-boat-4#s1,cycle-6-boat-4,2
cycle-6-boat-4#s2,cycle-6-boat-4,3
complete-3-boat-2#s0,complete-3-boat-2,1
complete-3-boat-2#s1,complete-3-boat-2,2
complete-3-boat-2#s2,complete-3-boat-2,3
complete-3-boat-3#s0,complete-3-boat-3,1
complete-3-boat-3#s1,complete-3-boat-3,2
complete-3-boat-4#s0,complete-3-boat-4,1
complete-3-boat-4#s1,complete-3-boat-4,2
complete-4-boat-3#s0,complete-4-boat-3,1
complete-4-boat-3#s1,complete-4-boat-3,2
complete-4-boat-3#s2,complete-4-boat-3,3
complete-4-boat-4#s0,complete-4-boat-4,1
complete-4-boat-4#s1,complete-4-boat-4,2
complete-5-boat-4#s0,complete-5-boat-4,1
complete-5-boat-4#s1,complete-5-boat-4,2
complete-5-boat-4#s2,complete-5-boat-4,3
missionaries-cannibals-3#s0,missionaries-cannibals-3,1
missionaries-cannibals-3#s1,missionaries-cannibals-3,4
missionaries-cannibals-3#s2,missionaries-cannibals-3,7
missionaries-cannibals-3#s3,missionaries-cannibals-3,9
missionaries-cannibals-3#s4,missionaries-cannibals-3,12
missionaries-cannibals-4#s0,missionaries-cannibals-4,1
missionaries-cannibals-4#s1,missionaries-cannibals-4,3
missionaries-cannibals-4#s2,missionaries-cannibals-4,5
missionaries-cannibals-4#s3,missionaries-cannibals-4,8
missionaries-cannibals-4#s4,missionaries-cannibals-4,10
