item,design,pair,dim,judge,level,task
A1,A,PLp/MCr,PLs,opus,0,"You are given the complete specification of a timetabling problem: 12 lectures, 4 rooms, the stated availability window of each lecturer, and 9 precedence constraints. Nothing is missing and nothing irrelevant is included. Produce a valid timetable."
B1,B,PLp/MCr,PLs,opus,2,"A 40-page incident log contains three lines that bear on the question, buried among unrelated entries. Identify which lines matter and answer: did the outage affect EU customers? Once the right lines are found the answer is immediate."
C1,C,PLp/MCr,PLs,opus,0,"Solve a competition programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once worked through."
A2,A,PLs/MCu,PLs,opus,4,Others keep editing a shared whiteboard while you work. Report what is written on it at the end of the session.
B2,B,PLs/MCu,PLs,opus,0,"You are given a complete, fully documented dataset. State which of five proposed conclusions it can support and which would require data you do not have."
C2,C,PLs/MCu,PLs,opus,3,"A patient presents with fever, fatigue and joint pain. Decide which diagnoses can be ruled out and which tests to order."
A3,A,PLp/AT,PLs,opus,2,"Plan a multi-city international trip where flight dates, visa processing times and hotel bookings constrain one another."
B3,B,PLp/AT,PLs,opus,0,"If the letter Q were removed from the English alphabet, list three common words that would need respelling and say how. The method is obvious as soon as the question is read."
C3,C,PLp/AT,PLs,opus,0,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
A4,A,PLp/CL,PLs,opus,0,"Order 30 construction subtasks whose dependencies are fully specified and whose methods are all standard, so that no task begins before its prerequisites finish and the site is never overcrowded."
B4,B,PLp/CL,PLs,opus,0,Here are five sentences obeying an invented grammatical rule. Work out the rule and apply it to a sixth sentence.
C4,C,PLp/CL,PLs,opus,0,Solve a competition programming problem whose key idea is an analogy to a completely different class of problem.
A5,A,PLp/QLl,PLs,opus,1,"Plan a week of meals so that ingredients bought early are used before they spoil and the weekly shop is done once. No formal deduction is required, but each choice constrains the later ones."
B5,B,PLp/QLl,PLs,opus,0,Seven statements describe who sits where at a round table. Deduce the seating. Systematic elimination is the standard method and you may use it directly.
C5,C,PLp/QLl,PLs,opus,0,Seven albums must be recorded in some order subject to five ordering constraints. Produce a valid schedule.
S1,S,-,PLs,opus,0,What is the boiling point of water at sea level?
S2,S,-,PLs,opus,0,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
S3,S,-,PLs,opus,5,A program you did not write crashes intermittently. The whole source is available to read. Find the fault.
S4,S,-,PLs,opus,0,Summarise a 600-word news article in three sentences.
S5,S,-,PLs,opus,0,Prove that there are infinitely many prime numbers.
A1,A,PLp/MCr,MCr,opus,0,"You are given the complete specification of a timetabling problem: 12 lectures, 4 rooms, the stated availability window of each lecturer, and 9 precedence constraints. Nothing is missing and nothing irrelevant is included. Produce a valid timetable."
B1,B,PLp/MCr,MCr,opus,3,"A 40-page incident log contains three lines that bear on the question, buried among unrelated entries. Identify which lines matter and answer: did the outage affect EU customers? Once the right lines are found the answer is immediate."
C1,C,PLp/MCr,MCr,opus,4,"Solve a competition programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once worked through."
A2,A,PLs/MCu,MCr,opus,1,Others keep editing a shared whiteboard while you work. Report what is written on it at the end of the session.
B2,B,PLs/MCu,MCr,opus,3,"You are given a complete, fully documented dataset. State which of five proposed conclusions it can support and which would require data you do not have."
C2,C,PLs/MCu,MCr,opus,4,"A patient presents with fever, fatigue and joint pain. Decide which diagnoses can be ruled out and which tests to order."
A3,A,PLp/AT,MCr,opus,2,"Plan a multi-city international trip where flight dates, visa processing times and hotel bookings constrain one another."
B3,B,PLp/AT,MCr,opus,0,"If the letter Q were removed from the English alphabet, list three common words that would need respelling and say how. The method is obvious as soon as the question is read."
C3,C,PLp/AT,MCr,opus,5,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
A4,A,PLp/CL,MCr,opus,1,"Order 30 construction subtasks whose dependencies are fully specified and whose methods are all standard, so that no task begins before its prerequisites finish and the site is never overcrowded."
B4,B,PLp/CL,MCr,opus,3,Here are five sentences obeying an invented grammatical rule. Work out the rule and apply it to a sixth sentence.
C4,C,PLp/CL,MCr,opus,4,Solve a competition programming problem whose key idea is an analogy to a completely different class of problem.
A5,A,PLp/QLl,MCr,opus,2,"Plan a week of meals so that ingredients bought early are used before they spoil and the weekly shop is done once. No formal deduction is required, but each choice constrains the later ones."
B5,B,PLp/QLl,MCr,opus,1,Seven statements describe who sits where at a round table. Deduce the seating. Systematic elimination is the standard method and you may use it directly.
C5,C,PLp/QLl,MCr,opus,0,Seven albums must be recorded in some order subject to five ordering constraints. Produce a valid schedule.
S1,S,-,MCr,opus,0,What is the boiling point of water at sea level?
S2,S,-,MCr,opus,5,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
S3,S,-,MCr,opus,4,A program you did not write crashes intermittently. The whole source is available to read. Find the fault.
S4,S,-,MCr,opus,2,Summarise a 600-word news article in three sentences.
S5,S,-,MCr,opus,0,Prove that there are infinitely many prime numbers.
A1,A,PLp/MCr,MCu,opus,3,"You are given the complete specification of a timetabling problem: 12 lectures, 4 rooms, the stated availability window of each lecturer, and 9 precedence constraints. Nothing is missing and nothing irrelevant is included. Produce a valid timetable."
B1,B,PLp/MCr,MCu,opus,1,"A 40-page incident log contains three lines that bear on the question, buried among unrelated entries. Identify which lines matter and answer: did the outage affect EU customers? Once the right lines are found the answer is immediate."
C1,C,PLp/MCr,MCu,opus,3,"Solve a competition programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once worked through."
A2,A,PLs/MCu,MCu,opus,2,Others keep editing a shared whiteboard while you work. Report what is written on it at the end of the session.
B2,B,PLs/MCu,MCu,opus,3,"You are given a complete, fully documented dataset. State which of five proposed conclusions it can support and which would require data you do not have."
C2,C,PLs/MCu,MCu,opus,4,"A patient presents with fever, fatigue and joint pain. Decide which diagnoses can be ruled out and which tests to order."
A3,A,PLp/AT,MCu,opus,2,"Plan a multi-city international trip where flight dates, visa processing times and hotel bookings constrain one another."
B3,B,PLp/AT,MCu,opus,1,"If the letter Q were removed from the English alphabet, list three common words that would need respelling and say how. The method is obvious as soon as the question is read."
C3,C,PLp/AT,MCu,opus,4,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
A4,A,PLp/CL,MCu,opus,2,"Order 30 construction subtasks whose dependencies are fully specified and whose methods are all standard, so that no task begins before its prerequisites finish and the site is never overcrowded."
B4,B,PLp/CL,MCu,opus,3,Here are five sentences obeying an invented grammatical rule. Work out the rule and apply it to a sixth sentence.
C4,C,PLp/CL,MCu,opus,3,Solve a competition programming problem whose key idea is an analogy to a completely different class of problem.
A5,A,PLp/QLl,MCu,opus,2,"Plan a week of meals so that ingredients bought early are used before they spoil and the weekly shop is done once. No formal deduction is required, but each choice constrains the later ones."
B5,B,PLp/QLl,MCu,opus,2,Seven statements describe who sits where at a round table. Deduce the seating. Systematic elimination is the standard method and you may use it directly.
C5,C,PLp/QLl,MCu,opus,1,Seven albums must be recorded in some order subject to five ordering constraints. Produce a valid schedule.
S1,S,-,MCu,opus,0,What is the boiling point of water at sea level?
S2,S,-,MCu,opus,5,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
S3,S,-,MCu,opus,3,A program you did not write crashes intermittently. The whole source is available to read. Find the fault.
S4,S,-,MCu,opus,0,Summarise a 600-word news article in three sentences.
S5,S,-,MCu,opus,1,Prove that there are infinitely many prime numbers.
A1,A,PLp/MCr,AT,opus,2,"You are given the complete specification of a timetabling problem: 12 lectures, 4 rooms, the stated availability window of each lecturer, and 9 precedence constraints. Nothing is missing and nothing irrelevant is included. Produce a valid timetable."
B1,B,PLp/MCr,AT,opus,2,"A 40-page incident log contains three lines that bear on the question, buried among unrelated entries. Identify which lines matter and answer: did the outage affect EU customers? Once the right lines are found the answer is immediate."
C1,C,PLp/MCr,AT,opus,3,"Solve a competition programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once worked through."
A2,A,PLs/MCu,AT,opus,3,Others keep editing a shared whiteboard while you work. Report what is written on it at the end of the session.
B2,B,PLs/MCu,AT,opus,2,"You are given a complete, fully documented dataset. State which of five proposed conclusions it can support and which would require data you do not have."
C2,C,PLs/MCu,AT,opus,1,"A patient presents with fever, fatigue and joint pain. Decide which diagnoses can be ruled out and which tests to order."
A3,A,PLp/AT,AT,opus,2,"Plan a multi-city international trip where flight dates, visa processing times and hotel bookings constrain one another."
B3,B,PLp/AT,AT,opus,3,"If the letter Q were removed from the English alphabet, list three common words that would need respelling and say how. The method is obvious as soon as the question is read."
C3,C,PLp/AT,AT,opus,4,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
A4,A,PLp/CL,AT,opus,2,"Order 30 construction subtasks whose dependencies are fully specified and whose methods are all standard, so that no task begins before its prerequisites finish and the site is never overcrowded."
B4,B,PLp/CL,AT,opus,3,Here are five sentences obeying an invented grammatical rule. Work out the rule and apply it to a sixth sentence.
C4,C,PLp/CL,AT,opus,4,Solve a competition programming problem whose key idea is an analogy to a completely different class of problem.
A5,A,PLp/QLl,AT,opus,2,"Plan a week of meals so that ingredients bought early are used before they spoil and the weekly shop is done once. No formal deduction is required, but each choice constrains the later ones."
B5,B,PLp/QLl,AT,opus,2,Seven statements describe who sits where at a round table. Deduce the seating. Systematic elimination is the standard method and you may use it directly.
C5,C,PLp/QLl,AT,opus,2,Seven albums must be recorded in some order subject to five ordering constraints. Produce a valid schedule.
S1,S,-,AT,opus,0,What is the boiling point of water at sea level?
S2,S,-,AT,opus,5,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
S3,S,-,AT,opus,2,A program you did not write crashes intermittently. The whole source is available to read. Find the fault.
S4,S,-,AT,opus,1,Summarise a 600-word news article in three sentences.
S5,S,-,AT,opus,0,Prove that there are infinitely many prime numbers.
A1,A,PLp/MCr,CL,opus,0,"You are given the complete specification of a timetabling problem: 12 lectures, 4 rooms, the stated availability window of each lecturer, and 9 precedence constraints. Nothing is missing and nothing irrelevant is included. Produce a valid timetable."
B1,B,PLp/MCr,CL,opus,0,"A 40-page incident log contains three lines that bear on the question, buried among unrelated entries. Identify which lines matter and answer: did the outage affect EU customers? Once the right lines are found the answer is immediate."
C1,C,PLp/MCr,CL,opus,4,"Solve a competition programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once worked through."
A2,A,PLs/MCu,CL,opus,0,Others keep editing a shared whiteboard while you work. Report what is written on it at the end of the session.
B2,B,PLs/MCu,CL,opus,2,"You are given a complete, fully documented dataset. State which of five proposed conclusions it can support and which would require data you do not have."
C2,C,PLs/MCu,CL,opus,2,"A patient presents with fever, fatigue and joint pain. Decide which diagnoses can be ruled out and which tests to order."
A3,A,PLp/AT,CL,opus,1,"Plan a multi-city international trip where flight dates, visa processing times and hotel bookings constrain one another."
B3,B,PLp/AT,CL,opus,1,"If the letter Q were removed from the English alphabet, list three common words that would need respelling and say how. The method is obvious as soon as the question is read."
C3,C,PLp/AT,CL,opus,4,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
A4,A,PLp/CL,CL,opus,0,"Order 30 construction subtasks whose dependencies are fully specified and whose methods are all standard, so that no task begins before its prerequisites finish and the site is never overcrowded."
B4,B,PLp/CL,CL,opus,2,Here are five sentences obeying an invented grammatical rule. Work out the rule and apply it to a sixth sentence.
C4,C,PLp/CL,CL,opus,4,Solve a competition programming problem whose key idea is an analogy to a completely different class of problem.
A5,A,PLp/QLl,CL,opus,1,"Plan a week of meals so that ingredients bought early are used before they spoil and the weekly shop is done once. No formal deduction is required, but each choice constrains the later ones."
B5,B,PLp/QLl,CL,opus,0,Seven statements describe who sits where at a round table. Deduce the seating. Systematic elimination is the standard method and you may use it directly.
C5,C,PLp/QLl,CL,opus,0,Seven albums must be recorded in some order subject to five ordering constraints. Produce a valid schedule.
S1,S,-,CL,opus,0,What is the boiling point of water at sea level?
S2,S,-,CL,opus,5,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
S3,S,-,CL,opus,2,A program you did not write crashes intermittently. The whole source is available to read. Find the fault.
S4,S,-,CL,opus,1,Summarise a 600-word news article in three sentences.
S5,S,-,CL,opus,0,Prove that there are infinitely many prime numbers.
A1,A,PLp/MCr,QLl,opus,4,"You are given the complete specification of a timetabling problem: 12 lectures, 4 rooms, the stated availability window of each lecturer, and 9 precedence constraints. Nothing is missing and nothing irrelevant is included. Produce a valid timetable."
B1,B,PLp/MCr,QLl,opus,1,"A 40-page incident log contains three lines that bear on the question, buried among unrelated entries. Identify which lines matter and answer: did the outage affect EU customers? Once the right lines are found the answer is immediate."
C1,C,PLp/MCr,QLl,opus,5,"Solve a competition programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once worked through."
A2,A,PLs/MCu,QLl,opus,0,Others keep editing a shared whiteboard while you work. Report what is written on it at the end of the session.
B2,B,PLs/MCu,QLl,opus,3,"You are given a complete, fully documented dataset. State which of five proposed conclusions it can support and which would require data you do not have."
C2,C,PLs/MCu,QLl,opus,3,"A patient presents with fever, fatigue and joint pain. Decide which diagnoses can be ruled out and which tests to order."
A3,A,PLp/AT,QLl,opus,4,"Plan a multi-city international trip where flight dates, visa processing times and hotel bookings constrain one another."
B3,B,PLp/AT,QLl,opus,1,"If the letter Q were removed from the English alphabet, list three common words that would need respelling and say how. The method is obvious as soon as the question is read."
C3,C,PLp/AT,QLl,opus,5,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
A4,A,PLp/CL,QLl,opus,4,"Order 30 construction subtasks whose dependencies are fully specified and whose methods are all standard, so that no task begins before its prerequisites finish and the site is never overcrowded."
B4,B,PLp/CL,QLl,opus,3,Here are five sentences obeying an invented grammatical rule. Work out the rule and apply it to a sixth sentence.
C4,C,PLp/CL,QLl,opus,4,Solve a competition programming problem whose key idea is an analogy to a completely different class of problem.
A5,A,PLp/QLl,QLl,opus,2,"Plan a week of meals so that ingredients bought early are used before they spoil and the weekly shop is done once. No formal deduction is required, but each choice constrains the later ones."
B5,B,PLp/QLl,QLl,opus,4,Seven statements describe who sits where at a round table. Deduce the seating. Systematic elimination is the standard method and you may use it directly.
C5,C,PLp/QLl,QLl,opus,4,Seven albums must be recorded in some order subject to five ordering constraints. Produce a valid schedule.
S1,S,-,QLl,opus,0,What is the boiling point of water at sea level?
S2,S,-,QLl,opus,5,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
S3,S,-,QLl,opus,4,A program you did not write crashes intermittently. The whole source is available to read. Find the fault.
S4,S,-,QLl,opus,0,Summarise a 600-word news article in three sentences.
S5,S,-,QLl,opus,3,Prove that there are infinitely many prime numbers.
