run,item_id,kind,dim,judge,assigned,prereg,task
r26a_baseline,S02,sentinel,PLp,haiku,3,2|3,"Keep a submarine's position fixed during a long dive using inertial sensors alone, with no external fix available."
r26a_baseline,S03,sentinel,PLp,haiku,0,0,Which planet is closest to the Sun?
r26a_baseline,S04,sentinel,PLp,haiku,1,1|2|3,"Monitor a chemical plant from its control room, where every process variable changes continuously and all of them are displayed on the panel."
r26a_baseline,S05,sentinel,PLp,haiku,3,3|4,"Mediate a three-way dispute over a plot of land between a developer, a residents' association and the local council, whose demands cannot all be met and each of whom watches what the others are given."
r26a_baseline,S06,sentinel,PLp,haiku,0,1|2,"Typeset a 400-page book by hand, where a style defined wrongly in an early chapter silently mis-formats every later chapter that uses it."
r26a_baseline,T01,trap,PLp,sonnet,3,3|4,"Given a chess position, work out the strongest continuation and state the single move you would play."
r26a_baseline,T02,trap,PLp,sonnet,1,1|2,"Write an opinion piece for a national newspaper arguing that the retirement age should be raised, and submit it to the editor."
r26a_baseline,T03,trap,PLp,sonnet,3,3|4,"Solve a sliding-block puzzle through an interface that refuses any move violating the rules, but where a permitted move can lead to a dead end from which the puzzle cannot be finished."
r26a_baseline,T04,trap,PLp,sonnet,0,0,"Carry out a 300-step cell-culture protocol exactly as written, in the order given, over three days."
r26a_baseline,T05,trap,PLp,sonnet,1,1|2|3,Complete a Sudoku grid printed in a newspaper.
r26a_baseline,T06,trap,PLp,sonnet,1,0|1,Send a written notification to a family informing them that a relative has died in an accident. There is no reply and no further contact.
r26a_baseline,T07,trap,PLp,sonnet,4,4|5,Prove a hard olympiad inequality and write out the finished proof.
r26a_baseline,T08,trap,PLp,sonnet,2,2|3,A program crashes intermittently. The complete source is available to read. Find the fault.
r26a_baseline,N01,attractor,PLp,sonnet,3,3,"Write a grant proposal in which the budget must match the workplan, the workplan must match the stated aims, and a change to any one forces changes to the others."
r26a_baseline,N02,attractor,PLp,sonnet,4,4,"Design the plan for replicating a machine-learning paper that omits key hyperparameters and preprocessing details: what to implement, in what order, and which checks would distinguish a bug from a setup difference."
r26a_baseline,N03,attractor,PLp,sonnet,4,4|5,Devise the experimental plan to test a novel biological hypothesis for which no established assay exists.
r26a_baseline,N04,attractor,PLp,sonnet,1,1|2,Solve a contest programming problem whose intended solution is a single standard technique that applies directly once the problem type is recognised.
r26a_baseline,N05,attractor,PLp,sonnet,3,3|4,"Play out a 40-move chess endgame against an opponent, making each move in turn as the position develops."
r26a_baseline,N06,attractor,PLp,sonnet,0,0|1,Assemble a flat-pack desk in which every individual screw visibly seats or fails to seat as it is driven.
r26a_baseline,N07,attractor,PLp,sonnet,3,2|3,"Over several meetings, draw out what a client actually needs from a new system and bring them to accept a smaller scope than they first asked for."
r26a_baseline,N08,attractor,PLp,sonnet,3,2|3,"Settle a custody arrangement between two parents who each want the child living with them, and each of whom expects the other to exploit any concession."
r26a_baseline,N09,attractor,PLp,sonnet,1,1|2,Buy a used car from a dealer who states a floor price and will end the conversation rather than go below it.
r26a_baseline,N10,attractor,PLp,sonnet,2,1|2,Convert a spreadsheet of a thousand temperature readings from Celsius to Fahrenheit and produce a summary table of monthly means.
r26a_baseline,S01,sentinel,PLp,sonnet,1,2|3,"Push an irreversible firmware update to a fleet of devices already deployed in the field, where a bad image renders a device unrecoverable."
r26a_baseline,S02,sentinel,PLp,sonnet,0,2|3,"Keep a submarine's position fixed during a long dive using inertial sensors alone, with no external fix available."
r26a_baseline,S03,sentinel,PLp,sonnet,0,0,Which planet is closest to the Sun?
r26a_baseline,S04,sentinel,PLp,sonnet,0,1|2|3,"Monitor a chemical plant from its control room, where every process variable changes continuously and all of them are displayed on the panel."
r26a_baseline,S05,sentinel,PLp,sonnet,3,3|4,"Mediate a three-way dispute over a plot of land between a developer, a residents' association and the local council, whose demands cannot all be met and each of whom watches what the others are given."
r26a_baseline,S06,sentinel,PLp,sonnet,1,1|2,"Typeset a 400-page book by hand, where a style defined wrongly in an early chapter silently mis-formats every later chapter that uses it."
r26a_baseline,T01,trap,PLp,opus,3,3|4,"Given a chess position, work out the strongest continuation and state the single move you would play."
r26a_baseline,T02,trap,PLp,opus,1,1|2,"Write an opinion piece for a national newspaper arguing that the retirement age should be raised, and submit it to the editor."
r26a_baseline,T03,trap,PLp,opus,3,3|4,"Solve a sliding-block puzzle through an interface that refuses any move violating the rules, but where a permitted move can lead to a dead end from which the puzzle cannot be finished."
r26a_baseline,T04,trap,PLp,opus,0,0,"Carry out a 300-step cell-culture protocol exactly as written, in the order given, over three days."
r26a_baseline,T05,trap,PLp,opus,1,1|2|3,Complete a Sudoku grid printed in a newspaper.
r26a_baseline,T06,trap,PLp,opus,1,0|1,Send a written notification to a family informing them that a relative has died in an accident. There is no reply and no further contact.
r26a_baseline,T07,trap,PLp,opus,4,4|5,Prove a hard olympiad inequality and write out the finished proof.
r26a_baseline,T08,trap,PLp,opus,2,2|3,A program crashes intermittently. The complete source is available to read. Find the fault.
r26a_baseline,N01,attractor,PLp,opus,3,3,"Write a grant proposal in which the budget must match the workplan, the workplan must match the stated aims, and a change to any one forces changes to the others."
r26a_baseline,N02,attractor,PLp,opus,4,4,"Design the plan for replicating a machine-learning paper that omits key hyperparameters and preprocessing details: what to implement, in what order, and which checks would distinguish a bug from a setup difference."
r26a_baseline,N03,attractor,PLp,opus,4,4|5,Devise the experimental plan to test a novel biological hypothesis for which no established assay exists.
r26a_baseline,N04,attractor,PLp,opus,1,1|2,Solve a contest programming problem whose intended solution is a single standard technique that applies directly once the problem type is recognised.
r26a_baseline,N05,attractor,PLp,opus,3,3|4,"Play out a 40-move chess endgame against an opponent, making each move in turn as the position develops."
r26a_baseline,N06,attractor,PLp,opus,1,0|1,Assemble a flat-pack desk in which every individual screw visibly seats or fails to seat as it is driven.
r26a_baseline,N07,attractor,PLp,opus,2,2|3,"Over several meetings, draw out what a client actually needs from a new system and bring them to accept a smaller scope than they first asked for."
r26a_baseline,N08,attractor,PLp,opus,2,2|3,"Settle a custody arrangement between two parents who each want the child living with them, and each of whom expects the other to exploit any concession."
r26a_baseline,N09,attractor,PLp,opus,1,1|2,Buy a used car from a dealer who states a floor price and will end the conversation rather than go below it.
r26a_baseline,N10,attractor,PLp,opus,0,1|2,Convert a spreadsheet of a thousand temperature readings from Celsius to Fahrenheit and produce a summary table of monthly means.
r26a_baseline,S01,sentinel,PLp,opus,3,2|3,"Push an irreversible firmware update to a fleet of devices already deployed in the field, where a bad image renders a device unrecoverable."
r26a_baseline,S02,sentinel,PLp,opus,1,2|3,"Keep a submarine's position fixed during a long dive using inertial sensors alone, with no external fix available."
r26a_baseline,S03,sentinel,PLp,opus,0,0,Which planet is closest to the Sun?
r26a_baseline,S04,sentinel,PLp,opus,1,1|2|3,"Monitor a chemical plant from its control room, where every process variable changes continuously and all of them are displayed on the panel."
r26a_baseline,S05,sentinel,PLp,opus,3,3|4,"Mediate a three-way dispute over a plot of land between a developer, a residents' association and the local council, whose demands cannot all be met and each of whom watches what the others are given."
r26a_baseline,S06,sentinel,PLp,opus,3,1|2,"Typeset a 400-page book by hand, where a style defined wrongly in an early chapter silently mis-formats every later chapter that uses it."
r26a_baseline,T01,trap,PLe,haiku,0,0,"Given a chess position, work out the strongest continuation and state the single move you would play."
r26a_baseline,T02,trap,PLe,haiku,3,2|3,"Write an opinion piece for a national newspaper arguing that the retirement age should be raised, and submit it to the editor."
r26a_baseline,T03,trap,PLe,haiku,3,2|3,"Solve a sliding-block puzzle through an interface that refuses any move violating the rules, but where a permitted move can lead to a dead end from which the puzzle cannot be finished."
r26a_baseline,T04,trap,PLe,haiku,4,2|3|4,"Carry out a 300-step cell-culture protocol exactly as written, in the order given, over three days."
r26a_baseline,T05,trap,PLe,haiku,2,1|2|3,Complete a Sudoku grid printed in a newspaper.
r26a_baseline,T06,trap,PLe,haiku,4,0|1,Send a written notification to a family informing them that a relative has died in an accident. There is no reply and no further contact.
r26a_baseline,T07,trap,PLe,haiku,0,0|1,Prove a hard olympiad inequality and write out the finished proof.
r26a_baseline,T08,trap,PLe,haiku,0,2|3,A program crashes intermittently. The complete source is available to read. Find the fault.
r26a_baseline,N01,attractor,PLe,haiku,4,3|4,"Write a grant proposal in which the budget must match the workplan, the workplan must match the stated aims, and a change to any one forces changes to the others."
r26a_baseline,N02,attractor,PLe,haiku,0,3|4,"Design the plan for replicating a machine-learning paper that omits key hyperparameters and preprocessing details: what to implement, in what order, and which checks would distinguish a bug from a setup difference."
r26a_baseline,N03,attractor,PLe,haiku,0,3|4,Devise the experimental plan to test a novel biological hypothesis for which no established assay exists.
r26a_baseline,N04,attractor,PLe,haiku,0,1|2,Solve a contest programming problem whose intended solution is a single standard technique that applies directly once the problem type is recognised.
r26a_baseline,N05,attractor,PLe,haiku,2,1|2|3,"Play out a 40-move chess endgame against an opponent, making each move in turn as the position develops."
r26a_baseline,N06,attractor,PLe,haiku,1,1,Assemble a flat-pack desk in which every individual screw visibly seats or fails to seat as it is driven.
r26a_baseline,N07,attractor,PLe,haiku,3,2|3,"Over several meetings, draw out what a client actually needs from a new system and bring them to accept a smaller scope than they first asked for."
r26a_baseline,N08,attractor,PLe,haiku,5,2|3,"Settle a custody arrangement between two parents who each want the child living with them, and each of whom expects the other to exploit any concession."
r26a_baseline,N09,attractor,PLe,haiku,5,1|2,Buy a used car from a dealer who states a floor price and will end the conversation rather than go below it.
r26a_baseline,N10,attractor,PLe,haiku,2,1|2|3,Convert a spreadsheet of a thousand temperature readings from Celsius to Fahrenheit and produce a summary table of monthly means.
r26a_baseline,S01,sentinel,PLe,haiku,5,5,"Push an irreversible firmware update to a fleet of devices already deployed in the field, where a bad image renders a device unrecoverable."
r26a_baseline,S02,sentinel,PLe,haiku,4,3|4,"Keep a submarine's position fixed during a long dive using inertial sensors alone, with no external fix available."
r26a_baseline,S03,sentinel,PLe,haiku,0,0,Which planet is closest to the Sun?
r26a_baseline,S04,sentinel,PLe,haiku,2,2|3|4,"Monitor a chemical plant from its control room, where every process variable changes continuously and all of them are displayed on the panel."
r26a_baseline,S05,sentinel,PLe,haiku,4,3|4,"Mediate a three-way dispute over a plot of land between a developer, a residents' association and the local council, whose demands cannot all be met and each of whom watches what the others are given."
r26a_baseline,S06,sentinel,PLe,haiku,4,4,"Typeset a 400-page book by hand, where a style defined wrongly in an early chapter silently mis-formats every later chapter that uses it."
r26a_baseline,T01,trap,PLe,sonnet,0,0,"Given a chess position, work out the strongest continuation and state the single move you would play."
r26a_baseline,T02,trap,PLe,sonnet,3,2|3,"Write an opinion piece for a national newspaper arguing that the retirement age should be raised, and submit it to the editor."
r26a_baseline,T03,trap,PLe,sonnet,4,2|3,"Solve a sliding-block puzzle through an interface that refuses any move violating the rules, but where a permitted move can lead to a dead end from which the puzzle cannot be finished."
r26a_baseline,T04,trap,PLe,sonnet,5,2|3|4,"Carry out a 300-step cell-culture protocol exactly as written, in the order given, over three days."
r26a_baseline,T05,trap,PLe,sonnet,2,1|2|3,Complete a Sudoku grid printed in a newspaper.
r26a_baseline,T06,trap,PLe,sonnet,0,0|1,Send a written notification to a family informing them that a relative has died in an accident. There is no reply and no further contact.
r26a_baseline,T07,trap,PLe,sonnet,0,0|1,Prove a hard olympiad inequality and write out the finished proof.
r26a_baseline,T08,trap,PLe,sonnet,0,2|3,A program crashes intermittently. The complete source is available to read. Find the fault.
r26a_baseline,N01,attractor,PLe,sonnet,4,3|4,"Write a grant proposal in which the budget must match the workplan, the workplan must match the stated aims, and a change to any one forces changes to the others."
r26a_baseline,N02,attractor,PLe,sonnet,3,3|4,"Design the plan for replicating a machine-learning paper that omits key hyperparameters and preprocessing details: what to implement, in what order, and which checks would distinguish a bug from a setup difference."
r26a_baseline,N03,attractor,PLe,sonnet,3,3|4,Devise the experimental plan to test a novel biological hypothesis for which no established assay exists.
r26a_baseline,N04,attractor,PLe,sonnet,0,1|2,Solve a contest programming problem whose intended solution is a single standard technique that applies directly once the problem type is recognised.
r26a_baseline,N05,attractor,PLe,sonnet,4,1|2|3,"Play out a 40-move chess endgame against an opponent, making each move in turn as the position develops."
r26a_baseline,N06,attractor,PLe,sonnet,1,1,Assemble a flat-pack desk in which every individual screw visibly seats or fails to seat as it is driven.
r26a_baseline,N07,attractor,PLe,sonnet,2,2|3,"Over several meetings, draw out what a client actually needs from a new system and bring them to accept a smaller scope than they first asked for."
r26a_baseline,N08,attractor,PLe,sonnet,4,2|3,"Settle a custody arrangement between two parents who each want the child living with them, and each of whom expects the other to exploit any concession."
r26a_baseline,N09,attractor,PLe,sonnet,1,1|2,Buy a used car from a dealer who states a floor price and will end the conversation rather than go below it.
r26a_baseline,N10,attractor,PLe,sonnet,1,1|2|3,Convert a spreadsheet of a thousand temperature readings from Celsius to Fahrenheit and produce a summary table of monthly means.
r26a_baseline,S01,sentinel,PLe,sonnet,5,5,"Push an irreversible firmware update to a fleet of devices already deployed in the field, where a bad image renders a device unrecoverable."
r26a_baseline,S02,sentinel,PLe,sonnet,4,3|4,"Keep a submarine's position fixed during a long dive using inertial sensors alone, with no external fix available."
r26a_baseline,S03,sentinel,PLe,sonnet,0,0,Which planet is closest to the Sun?
r26a_baseline,S04,sentinel,PLe,sonnet,1,2|3|4,"Monitor a chemical plant from its control room, where every process variable changes continuously and all of them are displayed on the panel."
r26a_baseline,S05,sentinel,PLe,sonnet,4,3|4,"Mediate a three-way dispute over a plot of land between a developer, a residents' association and the local council, whose demands cannot all be met and each of whom watches what the others are given."
r26a_baseline,S06,sentinel,PLe,sonnet,4,4,"Typeset a 400-page book by hand, where a style defined wrongly in an early chapter silently mis-formats every later chapter that uses it."
r26a_baseline,T01,trap,PLe,opus,0,0,"Given a chess position, work out the strongest continuation and state the single move you would play."
r26a_baseline,T02,trap,PLe,opus,3,2|3,"Write an opinion piece for a national newspaper arguing that the retirement age should be raised, and submit it to the editor."
r26a_baseline,T03,trap,PLe,opus,4,2|3,"Solve a sliding-block puzzle through an interface that refuses any move violating the rules, but where a permitted move can lead to a dead end from which the puzzle cannot be finished."
r26a_baseline,T04,trap,PLe,opus,4,2|3|4,"Carry out a 300-step cell-culture protocol exactly as written, in the order given, over three days."
r26a_baseline,T05,trap,PLe,opus,4,1|2|3,Complete a Sudoku grid printed in a newspaper.
r26a_baseline,T06,trap,PLe,opus,0,0|1,Send a written notification to a family informing them that a relative has died in an accident. There is no reply and no further contact.
r26a_baseline,T07,trap,PLe,opus,0,0|1,Prove a hard olympiad inequality and write out the finished proof.
r26a_baseline,T08,trap,PLe,opus,0,2|3,A program crashes intermittently. The complete source is available to read. Find the fault.
r26a_baseline,N01,attractor,PLe,opus,4,3|4,"Write a grant proposal in which the budget must match the workplan, the workplan must match the stated aims, and a change to any one forces changes to the others."
r26a_baseline,N02,attractor,PLe,opus,0,3|4,"Design the plan for replicating a machine-learning paper that omits key hyperparameters and preprocessing details: what to implement, in what order, and which checks would distinguish a bug from a setup difference."
r26a_baseline,N03,attractor,PLe,opus,0,3|4,Devise the experimental plan to test a novel biological hypothesis for which no established assay exists.
r26a_baseline,N04,attractor,PLe,opus,0,1|2,Solve a contest programming problem whose intended solution is a single standard technique that applies directly once the problem type is recognised.
r26a_baseline,N05,attractor,PLe,opus,4,1|2|3,"Play out a 40-move chess endgame against an opponent, making each move in turn as the position develops."
r26a_baseline,N06,attractor,PLe,opus,1,1,Assemble a flat-pack desk in which every individual screw visibly seats or fails to seat as it is driven.
r26a_baseline,N07,attractor,PLe,opus,3,2|3,"Over several meetings, draw out what a client actually needs from a new system and bring them to accept a smaller scope than they first asked for."
r26a_baseline,N08,attractor,PLe,opus,4,2|3,"Settle a custody arrangement between two parents who each want the child living with them, and each of whom expects the other to exploit any concession."
r26a_baseline,N09,attractor,PLe,opus,3,1|2,Buy a used car from a dealer who states a floor price and will end the conversation rather than go below it.
r26a_baseline,N10,attractor,PLe,opus,3,1|2|3,Convert a spreadsheet of a thousand temperature readings from Celsius to Fahrenheit and produce a summary table of monthly means.
r26a_baseline,S01,sentinel,PLe,opus,5,5,"Push an irreversible firmware update to a fleet of devices already deployed in the field, where a bad image renders a device unrecoverable."
r26a_baseline,S02,sentinel,PLe,opus,4,3|4,"Keep a submarine's position fixed during a long dive using inertial sensors alone, with no external fix available."
r26a_baseline,S03,sentinel,PLe,opus,0,0,Which planet is closest to the Sun?
r26a_baseline,S04,sentinel,PLe,opus,1,2|3|4,"Monitor a chemical plant from its control room, where every process variable changes continuously and all of them are displayed on the panel."
r26a_baseline,S05,sentinel,PLe,opus,4,3|4,"Mediate a three-way dispute over a plot of land between a developer, a residents' association and the local council, whose demands cannot all be met and each of whom watches what the others are given."
r26a_baseline,S06,sentinel,PLe,opus,4,4,"Typeset a 400-page book by hand, where a style defined wrongly in an early chapter silently mis-formats every later chapter that uses it."
r26a_baseline,T01,trap,PLs,haiku,0,0,"Given a chess position, work out the strongest continuation and state the single move you would play."
r26a_baseline,T02,trap,PLs,haiku,1,0,"Write an opinion piece for a national newspaper arguing that the retirement age should be raised, and submit it to the editor."
r26a_baseline,T03,trap,PLs,haiku,0,0,"Solve a sliding-block puzzle through an interface that refuses any move violating the rules, but where a permitted move can lead to a dead end from which the puzzle cannot be finished."
r26a_baseline,T04,trap,PLs,haiku,2,1|2,"Carry out a 300-step cell-culture protocol exactly as written, in the order given, over three days."
r26a_baseline,T05,trap,PLs,haiku,0,0,Complete a Sudoku grid printed in a newspaper.
r26a_baseline,T06,trap,PLs,haiku,1,0,Send a written notification to a family informing them that a relative has died in an accident. There is no reply and no further contact.
r26a_baseline,T07,trap,PLs,haiku,0,0,Prove a hard olympiad inequality and write out the finished proof.
r26a_baseline,T08,trap,PLs,haiku,3,3|5,A program crashes intermittently. The complete source is available to read. Find the fault.
r26a_baseline,N01,attractor,PLs,haiku,0,0|1,"Write a grant proposal in which the budget must match the workplan, the workplan must match the stated aims, and a change to any one forces changes to the others."
r26a_baseline,N02,attractor,PLs,haiku,1,2|3,"Design the plan for replicating a machine-learning paper that omits key hyperparameters and preprocessing details: what to implement, in what order, and which checks would distinguish a bug from a setup difference."
r26a_baseline,N03,attractor,PLs,haiku,2,2|3,Devise the experimental plan to test a novel biological hypothesis for which no established assay exists.
r26a_baseline,N04,attractor,PLs,haiku,0,0,Solve a contest programming problem whose intended solution is a single standard technique that applies directly once the problem type is recognised.
r26a_baseline,N05,attractor,PLs,haiku,4,0|1,"Play out a 40-move chess endgame against an opponent, making each move in turn as the position develops."
r26a_baseline,N06,attractor,PLs,haiku,2,0|1,Assemble a flat-pack desk in which every individual screw visibly seats or fails to seat as it is driven.
r26a_baseline,N07,attractor,PLs,haiku,4,1|2,"Over several meetings, draw out what a client actually needs from a new system and bring them to accept a smaller scope than they first asked for."
r26a_baseline,N08,attractor,PLs,haiku,2,1|2,"Settle a custody arrangement between two parents who each want the child living with them, and each of whom expects the other to exploit any concession."
r26a_baseline,N09,attractor,PLs,haiku,1,1|2,Buy a used car from a dealer who states a floor price and will end the conversation rather than go below it.
r26a_baseline,N10,attractor,PLs,haiku,0,0|1,Convert a spreadsheet of a thousand temperature readings from Celsius to Fahrenheit and produce a summary table of monthly means.
r26a_baseline,S01,sentinel,PLs,haiku,4,1|2,"Push an irreversible firmware update to a fleet of devices already deployed in the field, where a bad image renders a device unrecoverable."
r26a_baseline,S02,sentinel,PLs,haiku,5,5,"Keep a submarine's position fixed during a long dive using inertial sensors alone, with no external fix available."
r26a_baseline,S03,sentinel,PLs,haiku,0,0,Which planet is closest to the Sun?
r26a_baseline,S04,sentinel,PLs,haiku,4,4,"Monitor a chemical plant from its control room, where every process variable changes continuously and all of them are displayed on the panel."
r26a_baseline,S05,sentinel,PLs,haiku,4,1|2,"Mediate a three-way dispute over a plot of land between a developer, a residents' association and the local council, whose demands cannot all be met and each of whom watches what the others are given."
r26a_baseline,S06,sentinel,PLs,haiku,3,0|1,"Typeset a 400-page book by hand, where a style defined wrongly in an early chapter silently mis-formats every later chapter that uses it."
r26a_baseline,T01,trap,PLs,sonnet,0,0,"Given a chess position, work out the strongest continuation and state the single move you would play."
r26a_baseline,T02,trap,PLs,sonnet,0,0,"Write an opinion piece for a national newspaper arguing that the retirement age should be raised, and submit it to the editor."
r26a_baseline,T03,trap,PLs,sonnet,0,0,"Solve a sliding-block puzzle through an interface that refuses any move violating the rules, but where a permitted move can lead to a dead end from which the puzzle cannot be finished."
r26a_baseline,T04,trap,PLs,sonnet,0,1|2,"Carry out a 300-step cell-culture protocol exactly as written, in the order given, over three days."
r26a_baseline,T05,trap,PLs,sonnet,0,0,Complete a Sudoku grid printed in a newspaper.
r26a_baseline,T06,trap,PLs,sonnet,0,0,Send a written notification to a family informing them that a relative has died in an accident. There is no reply and no further contact.
r26a_baseline,T07,trap,PLs,sonnet,0,0,Prove a hard olympiad inequality and write out the finished proof.
r26a_baseline,T08,trap,PLs,sonnet,3,3|5,A program crashes intermittently. The complete source is available to read. Find the fault.
r26a_baseline,N01,attractor,PLs,sonnet,0,0|1,"Write a grant proposal in which the budget must match the workplan, the workplan must match the stated aims, and a change to any one forces changes to the others."
r26a_baseline,N02,attractor,PLs,sonnet,0,2|3,"Design the plan for replicating a machine-learning paper that omits key hyperparameters and preprocessing details: what to implement, in what order, and which checks would distinguish a bug from a setup difference."
r26a_baseline,N03,attractor,PLs,sonnet,0,2|3,Devise the experimental plan to test a novel biological hypothesis for which no established assay exists.
r26a_baseline,N04,attractor,PLs,sonnet,0,0,Solve a contest programming problem whose intended solution is a single standard technique that applies directly once the problem type is recognised.
r26a_baseline,N05,attractor,PLs,sonnet,4,0|1,"Play out a 40-move chess endgame against an opponent, making each move in turn as the position develops."
r26a_baseline,N06,attractor,PLs,sonnet,0,0|1,Assemble a flat-pack desk in which every individual screw visibly seats or fails to seat as it is driven.
r26a_baseline,N07,attractor,PLs,sonnet,3,1|2,"Over several meetings, draw out what a client actually needs from a new system and bring them to accept a smaller scope than they first asked for."
r26a_baseline,N08,attractor,PLs,sonnet,0,1|2,"Settle a custody arrangement between two parents who each want the child living with them, and each of whom expects the other to exploit any concession."
r26a_baseline,N09,attractor,PLs,sonnet,1,1|2,Buy a used car from a dealer who states a floor price and will end the conversation rather than go below it.
r26a_baseline,N10,attractor,PLs,sonnet,0,0|1,Convert a spreadsheet of a thousand temperature readings from Celsius to Fahrenheit and produce a summary table of monthly means.
r26a_baseline,S01,sentinel,PLs,sonnet,0,1|2,"Push an irreversible firmware update to a fleet of devices already deployed in the field, where a bad image renders a device unrecoverable."
r26a_baseline,S02,sentinel,PLs,sonnet,5,5,"Keep a submarine's position fixed during a long dive using inertial sensors alone, with no external fix available."
r26a_baseline,S03,sentinel,PLs,sonnet,0,0,Which planet is closest to the Sun?
r26a_baseline,S04,sentinel,PLs,sonnet,4,4,"Monitor a chemical plant from its control room, where every process variable changes continuously and all of them are displayed on the panel."
r26a_baseline,S05,sentinel,PLs,sonnet,0,1|2,"Mediate a three-way dispute over a plot of land between a developer, a residents' association and the local council, whose demands cannot all be met and each of whom watches what the others are given."
r26a_baseline,S06,sentinel,PLs,sonnet,3,0|1,"Typeset a 400-page book by hand, where a style defined wrongly in an early chapter silently mis-formats every later chapter that uses it."
r26a_baseline,T01,trap,PLs,opus,0,0,"Given a chess position, work out the strongest continuation and state the single move you would play."
r26a_baseline,T02,trap,PLs,opus,0,0,"Write an opinion piece for a national newspaper arguing that the retirement age should be raised, and submit it to the editor."
r26a_baseline,T03,trap,PLs,opus,0,0,"Solve a sliding-block puzzle through an interface that refuses any move violating the rules, but where a permitted move can lead to a dead end from which the puzzle cannot be finished."
r26a_baseline,T04,trap,PLs,opus,1,1|2,"Carry out a 300-step cell-culture protocol exactly as written, in the order given, over three days."
r26a_baseline,T05,trap,PLs,opus,0,0,Complete a Sudoku grid printed in a newspaper.
r26a_baseline,T06,trap,PLs,opus,0,0,Send a written notification to a family informing them that a relative has died in an accident. There is no reply and no further contact.
r26a_baseline,T07,trap,PLs,opus,0,0,Prove a hard olympiad inequality and write out the finished proof.
r26a_baseline,T08,trap,PLs,opus,5,3|5,A program crashes intermittently. The complete source is available to read. Find the fault.
r26a_baseline,N01,attractor,PLs,opus,0,0|1,"Write a grant proposal in which the budget must match the workplan, the workplan must match the stated aims, and a change to any one forces changes to the others."
r26a_baseline,N02,attractor,PLs,opus,3,2|3,"Design the plan for replicating a machine-learning paper that omits key hyperparameters and preprocessing details: what to implement, in what order, and which checks would distinguish a bug from a setup difference."
r26a_baseline,N03,attractor,PLs,opus,2,2|3,Devise the experimental plan to test a novel biological hypothesis for which no established assay exists.
r26a_baseline,N04,attractor,PLs,opus,0,0,Solve a contest programming problem whose intended solution is a single standard technique that applies directly once the problem type is recognised.
r26a_baseline,N05,attractor,PLs,opus,4,0|1,"Play out a 40-move chess endgame against an opponent, making each move in turn as the position develops."
r26a_baseline,N06,attractor,PLs,opus,1,0|1,Assemble a flat-pack desk in which every individual screw visibly seats or fails to seat as it is driven.
r26a_baseline,N07,attractor,PLs,opus,1,1|2,"Over several meetings, draw out what a client actually needs from a new system and bring them to accept a smaller scope than they first asked for."
r26a_baseline,N08,attractor,PLs,opus,0,1|2,"Settle a custody arrangement between two parents who each want the child living with them, and each of whom expects the other to exploit any concession."
