custom_id,agent,task,kind,depth_frac,k,n_steps,success
opus41:sphinx-doc__sphinx-8551#segB,opus41,sphinx-doc__sphinx-8551,seg,0.68,8,25,0
o3mini:django__django-11999#cp25,o3mini,django__django-11999,cp,0.25,5,20,0
o3mini:django__django-11999#cp50,o3mini,django__django-11999,cp,0.5,10,20,0
o3mini:django__django-11999#cp75,o3mini,django__django-11999,cp,0.75,15,20,0
o3mini:django__django-11999#segA,o3mini,django__django-11999,seg,0.3,6,20,0
o3mini:django__django-11999#segB,o3mini,django__django-11999,seg,0.7,6,20,0
o3mini:sphinx-doc__sphinx-9367#cp25,o3mini,sphinx-doc__sphinx-9367,cp,0.3,3,10,0
o3mini:sphinx-doc__sphinx-9367#cp50,o3mini,sphinx-doc__sphinx-9367,cp,0.5,5,10,0
o3mini:sphinx-doc__sphinx-9367#cp75,o3mini,sphinx-doc__sphinx-9367,cp,0.8,8,10,0
o3mini:sphinx-doc__sphinx-9367#segA,o3mini,sphinx-doc__sphinx-9367,seg,0.3,4,10,0
o3mini:sphinx-doc__sphinx-9367#segB,o3mini,sphinx-doc__sphinx-9367,seg,0.7,4,10,0
o3mini:sphinx-doc__sphinx-8056#cp25,o3mini,sphinx-doc__sphinx-8056,cp,0.28,5,18,0
o3mini:sphinx-doc__sphinx-8056#cp50,o3mini,sphinx-doc__sphinx-8056,cp,0.5,9,18,0
o3mini:sphinx-doc__sphinx-8056#cp75,o3mini,sphinx-doc__sphinx-8056,cp,0.78,14,18,0
o3mini:sphinx-doc__sphinx-8056#segA,o3mini,sphinx-doc__sphinx-8056,seg,0.28,6,18,0
o3mini:sphinx-doc__sphinx-8056#segB,o3mini,sphinx-doc__sphinx-8056,seg,0.67,6,18,0
o3mini:sphinx-doc__sphinx-7748#cp25,o3mini,sphinx-doc__sphinx-7748,cp,0.25,5,20,0
o3mini:sphinx-doc__sphinx-7748#cp50,o3mini,sphinx-doc__sphinx-7748,cp,0.5,10,20,0
o3mini:sphinx-doc__sphinx-7748#cp75,o3mini,sphinx-doc__sphinx-7748,cp,0.75,15,20,0
o3mini:sphinx-doc__sphinx-7748#segA,o3mini,sphinx-doc__sphinx-7748,seg,0.3,6,20,0
o3mini:sphinx-doc__sphinx-7748#segB,o3mini,sphinx-doc__sphinx-7748,seg,0.7,6,20,0
