arm,item_id,judge,assigned
PLe_fix2_stress,N01,opus,4
PLe_fix2_stress,N02,opus,3
PLe_fix2_stress,N03,opus,3
PLe_fix2_stress,N04,opus,0
PLe_fix2_stress,N05,opus,4
PLe_fix2_stress,N06,opus,1
PLe_fix2_stress,N07,opus,3
PLe_fix2_stress,N08,opus,4
PLe_fix2_stress,N09,opus,4
PLe_fix2_stress,N10,opus,3
PLe_fix2_stress,S01,opus,5
PLe_fix2_stress,S02,opus,4
PLe_fix2_stress,S03,opus,0
PLe_fix2_stress,S04,opus,3
PLe_fix2_stress,S05,opus,4
PLe_fix2_stress,S06,opus,4
PLe_fix2_stress,T01,opus,0
PLe_fix2_stress,T02,opus,3
PLe_fix2_stress,T03,opus,4
PLe_fix2_stress,T04,opus,4
PLe_fix2_stress,T05,opus,3
PLe_fix2_stress,T06,opus,0
PLe_fix2_stress,T07,opus,3
PLe_fix2_stress,T08,opus,0
