dim,item_id,judge,assigned
PLe,D03,haiku,0
PLe,D04,haiku,1
PLe,D05,haiku,3
PLe,D06,haiku,0
PLe,D07,haiku,1
PLe,D08,haiku,2
PLe,D09,haiku,1
PLe,D10,haiku,3
PLe,E01,haiku,4
PLe,E02,haiku,5
PLe,E03,haiku,4
PLe,E04,haiku,5
PLe,L01,haiku,2
PLe,L02,haiku,0
PLe,L03,haiku,0
PLe,L04,haiku,0
PLe,M01,haiku,1
PLe,M02,haiku,2
PLe,M03,haiku,1
PLe,M04,haiku,1
PLe,P01,haiku,0
PLe,P02,haiku,0
PLe,P03,haiku,0
PLe,P04,haiku,0
PLe,S01,haiku,3
PLe,S02,haiku,2
PLe,S03,haiku,1
PLe,S04,haiku,3
PLe,X01,haiku,5
PLe,X02,haiku,4
PLe,X03,haiku,2
PLe,X04,haiku,5
PLe,X05,haiku,5
PLe,X06,haiku,3
PLe,D01,sonnet,2
PLe,D02,sonnet,0
PLe,D03,sonnet,0
PLe,D04,sonnet,0
PLe,D05,sonnet,3
PLe,D06,sonnet,0
PLe,D07,sonnet,1
PLe,D08,sonnet,0
PLe,D09,sonnet,0
PLe,D10,sonnet,3
PLe,E01,sonnet,4
PLe,E02,sonnet,5
PLe,E03,sonnet,4
PLe,E04,sonnet,5
PLe,L01,sonnet,0
PLe,L02,sonnet,0
PLe,L03,sonnet,0
PLe,L04,sonnet,0
PLe,M01,sonnet,0
PLe,M02,sonnet,0
PLe,M03,sonnet,0
PLe,M04,sonnet,0
PLe,P01,sonnet,0
PLe,P02,sonnet,0
PLe,P03,sonnet,3
PLe,P04,sonnet,0
PLe,S01,sonnet,0
PLe,S02,sonnet,0
PLe,S03,sonnet,0
PLe,S04,sonnet,0
PLe,X01,sonnet,5
PLe,X02,sonnet,3
PLe,X03,sonnet,0
PLe,X04,sonnet,5
PLe,X05,sonnet,5
PLe,X06,sonnet,0
PLe,D01,opus,2
PLe,D02,opus,1
PLe,D03,opus,1
PLe,D04,opus,1
PLe,D05,opus,3
PLe,D06,opus,0
PLe,D07,opus,1
PLe,D08,opus,2
PLe,D09,opus,1
PLe,D10,opus,2
PLe,E01,opus,4
PLe,E02,opus,5
PLe,E03,opus,4
PLe,E04,opus,5
PLe,L01,opus,0
PLe,L02,opus,0
PLe,L03,opus,0
PLe,L04,opus,0
PLe,M01,opus,1
PLe,M02,opus,2
PLe,M03,opus,1
PLe,M04,opus,1
PLe,P01,opus,0
PLe,P02,opus,0
PLe,P03,opus,0
PLe,P04,opus,0
PLe,S01,opus,2
PLe,S02,opus,1
PLe,S03,opus,2
PLe,S04,opus,1
PLe,X01,opus,5
PLe,X02,opus,4
PLe,X03,opus,4
PLe,X04,opus,5
PLe,X05,opus,5
PLe,X06,opus,3
PLs,D01,haiku,1
PLs,D02,haiku,0
PLs,D03,haiku,1
PLs,D04,haiku,1
PLs,D05,haiku,0
PLs,D06,haiku,0
PLs,D07,haiku,4
PLs,D08,haiku,4
PLs,D09,haiku,2
PLs,D10,haiku,5
PLs,E01,haiku,0
PLs,E02,haiku,0
PLs,E03,haiku,0
PLs,E04,haiku,1
PLs,L01,haiku,0
PLs,L02,haiku,0
PLs,L03,haiku,0
PLs,L04,haiku,0
PLs,M01,haiku,3
PLs,M02,haiku,4
PLs,M03,haiku,3
PLs,M04,haiku,3
PLs,P01,haiku,0
PLs,P02,haiku,0
PLs,P03,haiku,0
PLs,P04,haiku,0
PLs,S01,haiku,4
PLs,S02,haiku,4
PLs,S03,haiku,2
PLs,S04,haiku,4
PLs,X01,haiku,3
PLs,X02,haiku,4
PLs,X03,haiku,4
PLs,X04,haiku,5
PLs,X05,haiku,5
PLs,X06,haiku,5
PLs,D01,sonnet,1
PLs,D02,sonnet,0
PLs,D03,sonnet,1
PLs,D04,sonnet,2
PLs,D05,sonnet,0
PLs,D06,sonnet,0
PLs,D07,sonnet,1
PLs,D08,sonnet,2
PLs,D09,sonnet,1
PLs,D10,sonnet,3
PLs,E01,sonnet,0
PLs,E02,sonnet,0
PLs,E03,sonnet,0
PLs,E04,sonnet,1
PLs,L01,sonnet,0
PLs,L02,sonnet,0
PLs,L03,sonnet,0
PLs,L04,sonnet,0
PLs,M01,sonnet,0
PLs,M02,sonnet,0
PLs,M03,sonnet,0
PLs,M04,sonnet,0
PLs,P01,sonnet,0
PLs,P02,sonnet,0
PLs,P03,sonnet,0
PLs,P04,sonnet,0
PLs,S01,sonnet,4
PLs,S02,sonnet,4
PLs,S03,sonnet,2
PLs,S04,sonnet,5
PLs,X01,sonnet,0
PLs,X02,sonnet,5
PLs,X03,sonnet,0
PLs,X04,sonnet,5
PLs,X05,sonnet,0
PLs,X06,sonnet,0
PLs,D01,opus,0
PLs,D02,opus,0
PLs,D03,opus,1
PLs,D04,opus,0
PLs,D05,opus,0
PLs,D06,opus,0
PLs,D07,opus,1
PLs,D08,opus,0
PLs,D09,opus,1
PLs,D10,opus,5
PLs,E01,opus,0
PLs,E02,opus,0
PLs,E03,opus,0
PLs,E04,opus,1
PLs,L01,opus,0
PLs,L02,opus,0
PLs,L03,opus,0
PLs,L04,opus,0
PLs,M01,opus,0
PLs,M02,opus,0
PLs,M03,opus,0
PLs,M04,opus,0
PLs,P01,opus,0
PLs,P02,opus,0
PLs,P03,opus,0
PLs,P04,opus,0
PLs,S01,opus,4
PLs,S02,opus,4
PLs,S03,opus,2
PLs,S04,opus,5
PLs,X01,opus,3
PLs,X02,opus,4
PLs,X03,opus,0
PLs,X04,opus,5
PLs,X05,opus,0
PLs,X06,opus,0
MSc,D01,haiku,0
MSc,D02,haiku,0
MSc,D03,haiku,0
MSc,D04,haiku,2
MSc,D05,haiku,1
MSc,D06,haiku,0
MSc,D07,haiku,2
MSc,D08,haiku,3
MSc,D09,haiku,0
MSc,D10,haiku,0
MSc,E01,haiku,0
MSc,E02,haiku,0
MSc,E03,haiku,0
MSc,E04,haiku,0
MSc,L01,haiku,0
MSc,L02,haiku,0
MSc,L03,haiku,0
MSc,L04,haiku,0
MSc,M01,haiku,4
MSc,M02,haiku,5
MSc,M03,haiku,4
MSc,M04,haiku,4
MSc,P01,haiku,0
MSc,P02,haiku,0
MSc,P03,haiku,0
MSc,P04,haiku,0
MSc,S01,haiku,0
MSc,S02,haiku,0
MSc,S03,haiku,0
MSc,S04,haiku,0
MSc,X01,haiku,0
MSc,X02,haiku,0
MSc,X03,haiku,5
MSc,X04,haiku,0
MSc,X05,haiku,4
MSc,X06,haiku,5
MSc,D01,sonnet,0
MSc,D02,sonnet,0
MSc,D03,sonnet,0
MSc,D04,sonnet,2
MSc,D05,sonnet,1
MSc,D06,sonnet,0
MSc,D07,sonnet,2
MSc,D08,sonnet,3
MSc,D09,sonnet,0
MSc,D10,sonnet,0
MSc,E01,sonnet,0
MSc,E02,sonnet,0
MSc,E03,sonnet,0
MSc,E04,sonnet,0
MSc,L01,sonnet,0
MSc,L02,sonnet,0
MSc,L03,sonnet,0
MSc,L04,sonnet,0
MSc,M01,sonnet,4
MSc,M02,sonnet,5
MSc,M03,sonnet,4
MSc,M04,sonnet,4
MSc,P01,sonnet,0
MSc,P02,sonnet,0
MSc,P03,sonnet,0
MSc,P04,sonnet,0
MSc,S01,sonnet,0
MSc,S02,sonnet,0
MSc,S03,sonnet,0
MSc,S04,sonnet,0
MSc,X01,sonnet,0
MSc,X02,sonnet,0
MSc,X03,sonnet,5
MSc,X04,sonnet,0
MSc,X05,sonnet,4
MSc,X06,sonnet,5
MSc,D01,opus,0
MSc,D02,opus,0
MSc,D03,opus,0
MSc,D04,opus,2
MSc,D05,opus,1
MSc,D06,opus,0
MSc,D07,opus,2
MSc,D08,opus,3
MSc,D09,opus,0
MSc,D10,opus,0
MSc,E01,opus,0
MSc,E02,opus,0
MSc,E03,opus,0
MSc,E04,opus,0
MSc,L01,opus,0
MSc,L02,opus,0
MSc,L03,opus,0
MSc,L04,opus,0
MSc,M01,opus,4
MSc,M02,opus,5
MSc,M03,opus,4
MSc,M04,opus,4
MSc,P01,opus,0
MSc,P02,opus,0
MSc,P03,opus,0
MSc,P04,opus,0
MSc,S01,opus,0
MSc,S02,opus,0
MSc,S03,opus,0
MSc,S04,opus,0
MSc,X01,opus,0
MSc,X02,opus,0
MSc,X03,opus,5
MSc,X04,opus,0
MSc,X05,opus,4
MSc,X06,opus,5
