dim,item_id,judge,assigned,arm
PLe,M04,haiku,2,before_fix
PLe,P01,haiku,0,before_fix
PLe,P02,haiku,0,before_fix
PLe,P03,haiku,0,before_fix
PLe,P04,haiku,0,before_fix
PLe,S01,haiku,2,before_fix
PLe,S02,haiku,2,before_fix
PLe,S03,haiku,0,before_fix
PLe,S04,haiku,2,before_fix
PLe,X01,haiku,5,before_fix
PLe,X02,haiku,4,before_fix
PLe,X03,haiku,3,before_fix
PLe,X04,haiku,5,before_fix
PLe,X05,haiku,5,before_fix
PLe,X06,haiku,3,before_fix
PLe,D01,sonnet,2,before_fix
PLe,D02,sonnet,1,before_fix
PLe,D03,sonnet,0,before_fix
PLe,D04,sonnet,1,before_fix
PLe,D05,sonnet,3,before_fix
PLe,D06,sonnet,0,before_fix
PLe,D07,sonnet,1,before_fix
PLe,D08,sonnet,3,before_fix
PLe,D09,sonnet,0,before_fix
PLe,D10,sonnet,3,before_fix
PLe,E01,sonnet,4,before_fix
PLe,E02,sonnet,5,before_fix
PLe,E03,sonnet,4,before_fix
PLe,E04,sonnet,5,before_fix
PLe,L01,sonnet,0,before_fix
PLe,L02,sonnet,0,before_fix
PLe,L03,sonnet,0,before_fix
PLe,L04,sonnet,0,before_fix
PLe,M01,sonnet,2,before_fix
PLe,M02,sonnet,3,before_fix
PLe,M03,sonnet,2,before_fix
PLe,M04,sonnet,2,before_fix
PLe,P01,sonnet,0,before_fix
PLe,P02,sonnet,0,before_fix
PLe,P03,sonnet,3,before_fix
PLe,P04,sonnet,0,before_fix
PLe,S01,sonnet,2,before_fix
PLe,S02,sonnet,0,before_fix
PLe,S03,sonnet,1,before_fix
PLe,S04,sonnet,3,before_fix
PLe,X01,sonnet,5,before_fix
PLe,X02,sonnet,4,before_fix
PLe,X03,sonnet,4,before_fix
PLe,X04,sonnet,5,before_fix
PLe,X05,sonnet,5,before_fix
PLe,X06,sonnet,4,before_fix
PLe,D01,opus,2,before_fix
PLe,D02,opus,1,before_fix
PLe,D03,opus,1,before_fix
PLe,D04,opus,2,before_fix
PLe,D05,opus,3,before_fix
PLe,D06,opus,0,before_fix
PLe,D07,opus,1,before_fix
PLe,D08,opus,3,before_fix
PLe,D09,opus,1,before_fix
PLe,D10,opus,2,before_fix
PLe,E01,opus,4,before_fix
PLe,E02,opus,5,before_fix
PLe,E03,opus,4,before_fix
PLe,E04,opus,5,before_fix
PLe,L01,opus,0,before_fix
PLe,L02,opus,0,before_fix
PLe,L03,opus,0,before_fix
PLe,L04,opus,0,before_fix
PLe,M01,opus,2,before_fix
PLe,M02,opus,2,before_fix
PLe,M03,opus,2,before_fix
PLe,M04,opus,2,before_fix
PLe,P01,opus,0,before_fix
PLe,P02,opus,0,before_fix
PLe,P03,opus,0,before_fix
PLe,P04,opus,0,before_fix
PLe,S01,opus,2,before_fix
PLe,S02,opus,2,before_fix
PLe,S03,opus,2,before_fix
PLe,S04,opus,2,before_fix
PLe,X01,opus,5,before_fix
PLe,X02,opus,4,before_fix
PLe,X03,opus,4,before_fix
PLe,X04,opus,5,before_fix
PLe,X05,opus,5,before_fix
PLe,X06,opus,3,before_fix
PLs,D01,haiku,1,before_fix
PLs,D02,haiku,0,before_fix
PLs,D03,haiku,1,before_fix
PLs,D04,haiku,1,before_fix
PLs,D05,haiku,0,before_fix
PLs,D06,haiku,0,before_fix
PLs,D07,haiku,2,before_fix
PLs,D08,haiku,3,before_fix
PLs,D09,haiku,3,before_fix
PLs,D10,haiku,5,before_fix
PLs,E01,haiku,0,before_fix
PLs,E02,haiku,0,before_fix
PLs,E03,haiku,0,before_fix
PLs,E04,haiku,1,before_fix
PLs,L01,haiku,0,before_fix
PLs,L02,haiku,0,before_fix
PLs,L03,haiku,0,before_fix
PLs,L04,haiku,0,before_fix
PLs,M01,haiku,0,before_fix
PLs,M02,haiku,3,before_fix
PLs,M03,haiku,0,before_fix
PLs,M04,haiku,0,before_fix
PLs,P01,haiku,0,before_fix
PLs,P02,haiku,0,before_fix
PLs,P03,haiku,0,before_fix
PLs,P04,haiku,0,before_fix
PLs,S01,haiku,4,before_fix
PLs,S02,haiku,4,before_fix
PLs,S03,haiku,2,before_fix
PLs,S04,haiku,5,before_fix
PLs,X01,haiku,2,before_fix
PLs,X02,haiku,5,before_fix
PLs,X03,haiku,3,before_fix
PLs,X04,haiku,5,before_fix
PLs,X05,haiku,3,before_fix
PLs,X06,haiku,5,before_fix
PLs,D01,sonnet,1,before_fix
PLs,D02,sonnet,0,before_fix
PLs,D03,sonnet,1,before_fix
PLs,D04,sonnet,3,before_fix
PLs,D05,sonnet,0,before_fix
PLs,D06,sonnet,0,before_fix
PLs,D07,sonnet,1,before_fix
PLs,D08,sonnet,3,before_fix
PLs,D09,sonnet,1,before_fix
PLs,D10,sonnet,5,before_fix
PLs,E01,sonnet,0,before_fix
PLs,E02,sonnet,0,before_fix
PLs,E03,sonnet,0,before_fix
PLs,E04,sonnet,1,before_fix
PLs,L01,sonnet,0,before_fix
PLs,L02,sonnet,0,before_fix
PLs,L03,sonnet,0,before_fix
PLs,L04,sonnet,0,before_fix
PLs,M01,sonnet,0,before_fix
PLs,M02,sonnet,0,before_fix
PLs,M03,sonnet,0,before_fix
PLs,M04,sonnet,0,before_fix
PLs,P01,sonnet,0,before_fix
PLs,P02,sonnet,0,before_fix
PLs,P03,sonnet,0,before_fix
PLs,P04,sonnet,0,before_fix
PLs,S01,sonnet,4,before_fix
PLs,S02,sonnet,4,before_fix
PLs,S03,sonnet,2,before_fix
PLs,S04,sonnet,5,before_fix
PLs,X01,sonnet,0,before_fix
PLs,X02,sonnet,5,before_fix
PLs,X03,sonnet,3,before_fix
PLs,X04,sonnet,5,before_fix
PLs,X05,sonnet,0,before_fix
PLs,X06,sonnet,5,before_fix
PLs,D01,opus,0,before_fix
PLs,D02,opus,1,before_fix
PLs,D03,opus,1,before_fix
PLs,D04,opus,2,before_fix
PLs,D05,opus,0,before_fix
PLs,D06,opus,0,before_fix
PLs,D07,opus,2,before_fix
PLs,D08,opus,2,before_fix
PLs,D09,opus,1,before_fix
PLs,D10,opus,5,before_fix
PLs,E01,opus,0,before_fix
PLs,E02,opus,0,before_fix
PLs,E03,opus,0,before_fix
PLs,E04,opus,1,before_fix
PLs,L01,opus,0,before_fix
PLs,L02,opus,0,before_fix
PLs,L03,opus,0,before_fix
PLs,L04,opus,0,before_fix
PLs,M01,opus,0,before_fix
PLs,M02,opus,0,before_fix
PLs,M03,opus,0,before_fix
PLs,M04,opus,0,before_fix
PLs,P01,opus,0,before_fix
PLs,P02,opus,0,before_fix
PLs,P03,opus,0,before_fix
PLs,P04,opus,0,before_fix
PLs,S01,opus,4,before_fix
PLs,S02,opus,4,before_fix
PLs,S03,opus,2,before_fix
PLs,S04,opus,5,before_fix
PLs,X01,opus,3,before_fix
PLs,X02,opus,4,before_fix
PLs,X03,opus,1,before_fix
PLs,X04,opus,5,before_fix
PLs,X05,opus,1,before_fix
PLs,X06,opus,1,before_fix
MSc,D01,haiku,0,before_fix
MSc,D02,haiku,1,before_fix
MSc,D03,haiku,0,before_fix
MSc,D04,haiku,2,before_fix
MSc,D05,haiku,1,before_fix
MSc,D06,haiku,0,before_fix
MSc,D07,haiku,2,before_fix
MSc,D08,haiku,3,before_fix
MSc,D09,haiku,0,before_fix
MSc,D10,haiku,0,before_fix
MSc,E01,haiku,0,before_fix
MSc,E02,haiku,0,before_fix
MSc,E03,haiku,0,before_fix
MSc,E04,haiku,0,before_fix
MSc,L01,haiku,0,before_fix
MSc,L02,haiku,0,before_fix
MSc,L03,haiku,0,before_fix
MSc,L04,haiku,0,before_fix
MSc,M01,haiku,4,before_fix
MSc,M02,haiku,5,before_fix
MSc,M03,haiku,4,before_fix
MSc,M04,haiku,4,before_fix
MSc,P01,haiku,0,before_fix
MSc,P02,haiku,0,before_fix
MSc,P03,haiku,0,before_fix
MSc,P04,haiku,0,before_fix
MSc,S01,haiku,0,before_fix
MSc,S02,haiku,0,before_fix
MSc,S03,haiku,0,before_fix
MSc,S04,haiku,0,before_fix
MSc,X01,haiku,0,before_fix
MSc,X02,haiku,0,before_fix
MSc,X03,haiku,5,before_fix
MSc,X04,haiku,0,before_fix
MSc,X05,haiku,4,before_fix
MSc,X06,haiku,4,before_fix
MSc,D01,sonnet,0,before_fix
MSc,D02,sonnet,0,before_fix
MSc,D03,sonnet,0,before_fix
MSc,D04,sonnet,2,before_fix
MSc,D05,sonnet,0,before_fix
MSc,D06,sonnet,0,before_fix
MSc,D07,sonnet,2,before_fix
MSc,D08,sonnet,3,before_fix
MSc,D09,sonnet,1,before_fix
MSc,D10,sonnet,1,before_fix
MSc,E01,sonnet,0,before_fix
MSc,E02,sonnet,0,before_fix
MSc,E03,sonnet,0,before_fix
MSc,E04,sonnet,0,before_fix
MSc,L01,sonnet,0,before_fix
MSc,L02,sonnet,0,before_fix
MSc,L03,sonnet,0,before_fix
MSc,L04,sonnet,0,before_fix
MSc,M01,sonnet,4,before_fix
MSc,M02,sonnet,5,before_fix
MSc,M03,sonnet,4,before_fix
MSc,M04,sonnet,4,before_fix
MSc,P01,sonnet,0,before_fix
MSc,P02,sonnet,0,before_fix
MSc,P03,sonnet,0,before_fix
MSc,P04,sonnet,0,before_fix
MSc,S01,sonnet,0,before_fix
MSc,S02,sonnet,0,before_fix
MSc,S03,sonnet,0,before_fix
MSc,S04,sonnet,0,before_fix
MSc,X01,sonnet,0,before_fix
MSc,X02,sonnet,0,before_fix
MSc,X03,sonnet,5,before_fix
MSc,X04,sonnet,0,before_fix
MSc,X05,sonnet,4,before_fix
MSc,X06,sonnet,5,before_fix
MSc,D01,opus,0,before_fix
MSc,D02,opus,0,before_fix
MSc,D03,opus,0,before_fix
MSc,D04,opus,2,before_fix
MSc,D05,opus,1,before_fix
MSc,D06,opus,0,before_fix
MSc,D07,opus,2,before_fix
MSc,D08,opus,3,before_fix
MSc,D09,opus,0,before_fix
MSc,D10,opus,0,before_fix
MSc,E01,opus,0,before_fix
MSc,E02,opus,0,before_fix
MSc,E03,opus,0,before_fix
MSc,E04,opus,0,before_fix
MSc,L01,opus,0,before_fix
MSc,L02,opus,0,before_fix
MSc,L03,opus,0,before_fix
MSc,L04,opus,0,before_fix
MSc,M01,opus,4,before_fix
MSc,M02,opus,5,before_fix
MSc,M03,opus,4,before_fix
MSc,M04,opus,4,before_fix
MSc,P01,opus,0,before_fix
MSc,P02,opus,0,before_fix
MSc,P03,opus,0,before_fix
MSc,P04,opus,0,before_fix
MSc,S01,opus,0,before_fix
MSc,S02,opus,0,before_fix
MSc,S03,opus,0,before_fix
MSc,S04,opus,0,before_fix
MSc,X01,opus,0,before_fix
MSc,X02,opus,0,before_fix
MSc,X03,opus,5,before_fix
MSc,X04,opus,0,before_fix
MSc,X05,opus,4,before_fix
MSc,X06,opus,5,before_fix
PLe,D01,haiku,2,after_fix
PLe,D02,haiku,1,after_fix
PLe,D03,haiku,0,after_fix
PLe,D04,haiku,1,after_fix
PLe,D05,haiku,3,after_fix
PLe,D06,haiku,0,after_fix
PLe,D07,haiku,1,after_fix
PLe,D08,haiku,1,after_fix
PLe,D09,haiku,1,after_fix
PLe,D10,haiku,2,after_fix
PLe,E01,haiku,4,after_fix
PLe,E02,haiku,5,after_fix
PLe,E03,haiku,4,after_fix
PLe,E04,haiku,5,after_fix
PLe,L01,haiku,0,after_fix
PLe,L02,haiku,0,after_fix
PLe,L03,haiku,0,after_fix
PLe,L04,haiku,0,after_fix
PLe,M01,haiku,1,after_fix
PLe,M02,haiku,1,after_fix
PLe,M03,haiku,1,after_fix
PLe,M04,haiku,1,after_fix
PLe,P01,haiku,0,after_fix
PLe,P02,haiku,0,after_fix
PLe,P03,haiku,0,after_fix
PLe,P04,haiku,0,after_fix
PLe,S01,haiku,2,after_fix
PLe,S02,haiku,2,after_fix
PLe,S03,haiku,1,after_fix
PLe,S04,haiku,3,after_fix
PLe,X01,haiku,5,after_fix
PLe,X02,haiku,5,after_fix
PLe,X03,haiku,1,after_fix
PLe,X04,haiku,5,after_fix
PLe,X05,haiku,5,after_fix
PLe,X06,haiku,3,after_fix
PLe,D01,sonnet,2,after_fix
PLe,D02,sonnet,1,after_fix
PLe,D03,sonnet,1,after_fix
PLe,D04,sonnet,0,after_fix
PLe,D05,sonnet,3,after_fix
PLe,D06,sonnet,0,after_fix
PLe,D07,sonnet,1,after_fix
PLe,D08,sonnet,0,after_fix
PLe,D09,sonnet,0,after_fix
PLe,D10,sonnet,2,after_fix
PLe,E01,sonnet,4,after_fix
PLe,E02,sonnet,5,after_fix
PLe,E03,sonnet,4,after_fix
PLe,E04,sonnet,5,after_fix
PLe,L01,sonnet,0,after_fix
PLe,L02,sonnet,0,after_fix
PLe,L03,sonnet,0,after_fix
PLe,L04,sonnet,0,after_fix
PLe,M01,sonnet,0,after_fix
PLe,M02,sonnet,0,after_fix
PLe,M03,sonnet,0,after_fix
PLe,M04,sonnet,0,after_fix
PLe,P01,sonnet,0,after_fix
PLe,P02,sonnet,0,after_fix
PLe,P03,sonnet,0,after_fix
PLe,P04,sonnet,0,after_fix
PLe,S01,sonnet,2,after_fix
PLe,S02,sonnet,2,after_fix
PLe,S03,sonnet,1,after_fix
PLe,S04,sonnet,2,after_fix
PLe,X01,sonnet,5,after_fix
PLe,X02,sonnet,4,after_fix
PLe,X03,sonnet,0,after_fix
PLe,X04,sonnet,5,after_fix
PLe,X05,sonnet,5,after_fix
PLe,X06,sonnet,0,after_fix
PLe,D01,opus,2,after_fix
PLe,D02,opus,1,after_fix
PLe,D03,opus,1,after_fix
PLe,D04,opus,0,after_fix
PLe,D05,opus,3,after_fix
PLe,D06,opus,0,after_fix
PLe,D07,opus,1,after_fix
PLe,D08,opus,0,after_fix
PLe,D09,opus,1,after_fix
PLe,D10,opus,2,after_fix
PLe,E01,opus,4,after_fix
PLe,E02,opus,5,after_fix
PLe,E03,opus,4,after_fix
PLe,E04,opus,5,after_fix
PLe,L01,opus,0,after_fix
PLe,L02,opus,0,after_fix
PLe,L03,opus,0,after_fix
PLe,L04,opus,0,after_fix
PLe,M01,opus,0,after_fix
PLe,M02,opus,0,after_fix
PLe,M03,opus,0,after_fix
PLe,M04,opus,0,after_fix
PLe,P01,opus,0,after_fix
PLe,P02,opus,0,after_fix
PLe,P03,opus,0,after_fix
PLe,P04,opus,0,after_fix
PLe,S01,opus,2,after_fix
PLe,S02,opus,1,after_fix
PLe,S03,opus,2,after_fix
PLe,S04,opus,2,after_fix
PLe,X01,opus,5,after_fix
PLe,X02,opus,5,after_fix
PLe,X03,opus,5,after_fix
PLe,X04,opus,5,after_fix
PLe,X05,opus,5,after_fix
PLe,X06,opus,4,after_fix
